snr,experiment_name,source_wav_id,chunk_index,y_true_w_m2,region,weight_randomforest,weight_conformer,weight_alexnet,weighted_diagonal_w_m2_squared,weighted_cross_w_m2_squared,ensemble_minus_best_single_sse_w_m2_squared,ensemble_minus_equal_sse_w_m2_squared,prediction_randomforest_w_m2,residual_randomforest_w_m2,sse_randomforest_w_m2_squared,miss_randomforest,false_alarm_randomforest,prediction_conformer_w_m2,residual_conformer_w_m2,sse_conformer_w_m2_squared,miss_conformer,false_alarm_conformer,prediction_alexnet_w_m2,residual_alexnet_w_m2,sse_alexnet_w_m2_squared,miss_alexnet,false_alarm_alexnet,prediction_ensemble__inner_holdout_w_m2,residual_ensemble__inner_holdout_w_m2,sse_ensemble__inner_holdout_w_m2_squared,miss_ensemble__inner_holdout,false_alarm_ensemble__inner_holdout,prediction_equal_offline_w_m2,residual_equal_offline_w_m2,sse_equal_offline_w_m2_squared,miss_equal_offline,false_alarm_equal_offline
no_noise,2025.06.18_0.3_3,index=1.0,10,-1.42e-06,below_onb,0.14361027080015779,0.6813582333783545,0.17503149582148775,6934635414.925159,3845593783.5263224,7160453207.357139,3439643162.355049,60164.57421875,60164.57422017,3619775991.094344,0,0,119941.703125,119941.70312642,14386012148.86627,0,0,76925.3828125,76925.38281392,5917514521.068139,0,0,103827.88256608439,103827.88256750439,10780229198.451483,0,0,85677.22005208333,85677.22005350333,7340586036.096434,0,0
no_noise,2025.06.18_0.3_3,index=1.0,11,-1.42e-06,below_onb,0.14361027080015779,0.6813582333783545,0.17503149582148775,11767044324.008043,4750893538.038442,12419824589.356806,7194556881.279097,64016.5078125,64016.50781392,4098113272.68968,0,0,157668.375,157668.37500142,24859316475.588406,0,0,67988.0859375,67988.08593892,4622379829.637972,0,0,128522.12985194994,128522.12985336994,16517937862.046486,0,0,96557.65625,96557.65625142,9323380980.76739,0,0
no_noise,2025.06.18_0.3_3,index=1.0,12,-1.42e-06,below_onb,0.14361027080015779,0.6813582333783545,0.17503149582148775,9880956166.000229,4495759709.533768,10629953264.868889,5711378433.06064,61210.8046875,61210.80468892,3746762610.6651106,0,0,144069.765625,144069.76562642,20756097367.651592,0,0,73982.8125,73982.81250142,5473456545.620268,0,0,119902.9435635067,119902.94356492671,14376715875.534,0,0,93087.79427083333,93087.79427225333,8665337442.47336,0,0
no_noise,2025.06.18_0.3_3,index=1.0,13,-1.42e-06,below_onb,0.14361027080015779,0.6813582333783545,0.17503149582148775,12156147712.277105,7189892996.488031,15345373944.23429,5786276696.123592,63250.82421875,63250.82422017,4000666764.5308437,0,0,157866.640625,157866.64062642,24921876222.67124,0,0,128221.734375,128221.73437642,16440813166.497208,0,0,139090.04532449515,139090.04532591515,19346040708.765133,0,0,116446.39973958333,116446.39974100333,13559764012.64154,0,0
no_noise,2025.06.18_0.3_3,index=1.0,14,-1.42e-06,below_onb,0.14361027080015779,0.6813582333783545,0.17503149582148775,12289881799.047533,5456681196.369481,13459266127.494492,7218563208.62388,65477.453125,65477.45312642,4287296867.922528,0,0,160757.34375,160757.34375142,25842923570.012215,0,0,81583.328125,81583.32812642,6655839428.183113,0,0,133216.22647049677,133216.22647191677,17746562995.41702,0,0,102606.04166666667,102606.04166808668,10527999786.793139,0,0
no_noise,2025.06.18_0.3_3,index=1.0,15,-1.42e-06,below_onb,0.14361027080015779,0.6813582333783545,0.17503149582148775,10951445231.22867,5860569709.366339,12729744416.055584,5706840020.349436,63892.6484375,63892.64843892,4082270524.539426,0,0,150759.78125,150759.78125142,22728511642.97601,0,0,101490.8515625,101490.85156392,10300392951.169643,0,0,129661.15432243679,129661.1543238568,16812014940.595009,0,0,105381.09375,105381.09375142,11105174920.245573,0,0
no_noise,2025.06.18_0.3_3,index=1.0,16,-1.42e-06,below_onb,0.14361027080015779,0.6813582333783545,0.17503149582148775,8826561824.98371,3031822066.20104,10606365281.068636,5566797505.729883,65686.9375,65686.93750142,4314773758.315457,0,0,136887.75,136887.75000142,18738256100.451263,0,0,35383.875,35383.87500142,1252018610.116115,0,0,108896.20696275645,108896.20696417645,11858383891.184752,0,0,79319.52083333333,79319.52083475333,6291586385.454868,0,0
no_noise,2025.06.18_0.3_3,index=1.0,17,-1.42e-06,below_onb,0.14361027080015779,0.6813582333783545,0.17503149582148775,10343455591.436817,4770875063.656121,10912444541.547626,5915600806.4611,64821.95703125,64821.95703267,4201886113.5453153,0,0,147365.953125,147365.95312642,21716724140.85822,0,0,75542.1171875,75542.11718892,5706611469.384523,0,0,122940.35405327166,122940.35405469166,15114330655.092941,0,0,95910.00911458333,95910.00911600333,9198729848.631842,0,0
no_noise,2025.06.18_0.3_3,index=1.0,18,-1.42e-06,below_onb,0.14361027080015779,0.6813582333783545,0.17503149582148775,11550798178.445286,5117208615.737192,12986778222.735737,6818666530.073717,60673.12890625,60673.12890767,3681228571.4467406,0,0,155825.59375,155825.59375142,24281615667.982586,0,0,81232.8046875,81232.80468892,6598768557.628224,0,0,129104.6350593805,129104.6350608005,16668006794.182478,0,0,99243.84244791667,99243.84244933668,9849340264.10876,0,0
no_noise,2025.06.18_0.3_3,index=1.0,19,-1.42e-06,below_onb,0.14361027080015779,0.6813582333783545,0.17503149582148775,8836590989.126432,4844030251.616087,10469328026.194313,4517721033.109764,56668.2734375,56668.27343892,3211293214.548206,0,0,135250.875,135250.87500142,18292799188.64974,0,0,95249.96875,95249.96875142,9072556547.146488,0,0,116964.1878542759,116964.1878556959,13680621240.74252,0,0,95723.0390625,95723.03906392,9162900207.632755,0,0
