before,after,model,source_wav_id,y_true_w_m2,region,chunks,sse_before,sse_after,sse_reduction_w_m2_squared
-8,-20,ensemble__inner_holdout,index=15.633482,633482.536,above_onb,60,26960616760.664772,63146491451.879486,-36185874691.214714
-8,-20,equal_offline,index=15.633482,633482.536,above_onb,60,28063253673.99585,70736972280.78687,-42673718606.791016
-8,-20,randomforest,index=16.709792,709792.7143,above_onb,60,215132871987.4754,211743763469.21637,3389108518.259033
-8,-20,conformer,index=16.709792,709792.7143,above_onb,60,98247078985.02353,63244917525.79874,35002161459.22479
-8,-20,alexnet,index=16.709792,709792.7143,above_onb,60,55000890343.405464,54954691035.25074,46199308.15472412
-8,-20,ensemble__inner_holdout,index=16.709792,709792.7143,above_onb,60,21290727861.7215,77178879452.89218,-55888151591.170685
-8,-20,equal_offline,index=16.709792,709792.7143,above_onb,60,33285695050.732876,87138243745.78908,-53852548695.0562
-8,-20,randomforest,index=17.789500,789500.1968,above_onb,60,645165148400.3647,647631714375.9462,-2466565975.581421
-8,-20,conformer,index=17.789500,789500.1968,above_onb,60,25900462214.89496,128645923318.49644,-102745461103.60149
-8,-20,alexnet,index=17.789500,789500.1968,above_onb,60,169585146163.2172,101212416501.12555,68372729662.091644
-8,-20,ensemble__inner_holdout,index=17.789500,789500.1968,above_onb,60,59272040977.77793,194206780118.94427,-134934739141.16635
-8,-20,equal_offline,index=17.789500,789500.1968,above_onb,60,138787415228.44208,228505609691.77188,-89718194463.3298
-8,-20,randomforest,index=18.873637,873637.0359,above_onb,60,1641391059675.4373,1662204201773.7422,-20813142098.30493
-8,-20,conformer,index=18.873637,873637.0359,above_onb,60,70608395924.9683,330251017030.91656,-259642621105.94824
-8,-20,alexnet,index=18.873637,873637.0359,above_onb,60,647623561557.3954,417958769313.3664,229664792244.029
-8,-20,ensemble__inner_holdout,index=18.873637,873637.0359,above_onb,60,375781814894.902,603676107764.1422,-227894292869.24023
-8,-20,equal_offline,index=18.873637,873637.0359,above_onb,60,593564290668.9397,692497872942.0754,-98933582273.13574
-8,-20,randomforest,index=2.2380,2380.025286,below_onb,60,327651789388.14465,316826809981.75885,10824979406.385803
-8,-20,conformer,index=2.2380,2380.025286,below_onb,60,43094070283.5204,67804408345.14079,-24710338061.62039
-8,-20,alexnet,index=2.2380,2380.025286,below_onb,60,253688662768.23615,723102357152.0144,-469413694383.77826
-8,-20,ensemble__inner_holdout,index=2.2380,2380.025286,below_onb,60,106140589068.07887,262305036130.74307,-156164447062.66418
-8,-20,equal_offline,index=2.2380,2380.025286,below_onb,60,152519936919.59167,269665437689.80396,-117145500770.21228
-8,-20,randomforest,index=3.21242,21242.86319,below_onb,60,149576484533.88406,173414789269.50864,-23838304735.624573
-8,-20,conformer,index=3.21242,21242.86319,below_onb,60,27182641551.319595,41769099060.8932,-14586457509.573608
-8,-20,alexnet,index=3.21242,21242.86319,below_onb,60,184522835101.75116,453641379798.561,-269118544696.8098
-8,-20,ensemble__inner_holdout,index=3.21242,21242.86319,below_onb,60,44734849786.70311,132680778605.57086,-87945928818.86775
-8,-20,equal_offline,index=3.21242,21242.86319,below_onb,60,71508628612.71649,137568686191.0669,-66060057578.3504
-8,-20,randomforest,index=4.58389,58389.85471,below_onb,60,12761587278.616776,16527340707.300985,-3765753428.68421
-8,-20,conformer,index=4.58389,58389.85471,below_onb,60,211600549366.03796,142196848334.29968,69403701031.73828
-8,-20,alexnet,index=4.58389,58389.85471,below_onb,60,46634504602.96786,216148026881.7427,-169513522278.77484
-8,-20,ensemble__inner_holdout,index=4.58389,58389.85471,below_onb,60,60148330910.97335,18486650372.587353,41661680538.386
-8,-20,equal_offline,index=4.58389,58389.85471,below_onb,60,27680057331.155087,17110103367.75371,10569953963.401377
-8,-20,randomforest,index=5.113188,113188.2901,below_onb,60,123405840343.0247,104487710825.83022,18918129517.19449
-8,-20,conformer,index=5.113188,113188.2901,below_onb,60,1197402756123.406,535835961468.97485,661566794654.4312
-8,-20,alexnet,index=5.113188,113188.2901,below_onb,60,597566371243.0089,84183598433.66454,513382772809.34436
-8,-20,ensemble__inner_holdout,index=5.113188,113188.2901,below_onb,60,681193483331.787,129814024093.76686,551379459238.0201
-8,-20,equal_offline,index=5.113188,113188.2901,below_onb,60,504745268556.5052,122713052168.91605,382032216387.5891
-8,-20,randomforest,index=6.146381,146381.6505,below_onb,60,350825724671.0417,304812247978.92944,46013476692.11224
-8,-20,conformer,index=6.146381,146381.6505,below_onb,60,2163443473526.9321,903385299041.6351,1260058174485.2969
-8,-20,alexnet,index=6.146381,146381.6505,below_onb,60,1371460413881.4314,87600966211.07861,1283859447670.3528
-8,-20,ensemble__inner_holdout,index=6.146381,146381.6505,below_onb,60,1433260431197.8228,327681361893.48627,1105579069304.3364
-8,-20,equal_offline,index=6.146381,146381.6505,below_onb,60,1153951338704.5303,318660049122.0898,835291289582.4404
-8,-20,randomforest,index=7.184190,184190.9699,below_onb,60,761755583746.6593,704510002580.4183,57245581166.24097
-8,-20,conformer,index=7.184190,184190.9699,below_onb,60,2634296921908.764,1670410415234.139,963886506674.6252
-8,-20,alexnet,index=7.184190,184190.9699,below_onb,60,1887448648299.3972,354800928923.8901,1532647719375.507
-8,-20,ensemble__inner_holdout,index=7.184190,184190.9699,below_onb,60,1929601269638.0916,815757723501.9089,1113843546136.1826
-8,-20,equal_offline,index=7.184190,184190.9699,below_onb,60,1648447405291.2805,793545987528.0033,854901417763.2772
-8,-20,randomforest,index=8.225704,225704.9618,below_onb,60,1423508558416.8003,1343468962598.3535,80039595818.44678
-8,-20,conformer,index=8.225704,225704.9618,below_onb,60,2387911403476.664,2479028949086.2036,-91117545609.53955
-8,-20,alexnet,index=8.225704,225704.9618,below_onb,60,1898231739829.7402,826528271205.901,1071703468623.8392
-8,-20,ensemble__inner_holdout,index=8.225704,225704.9618,below_onb,60,1998915393879.1243,1477693166760.0498,521222227119.07446
-8,-20,equal_offline,index=8.225704,225704.9618,below_onb,60,1849288211530.283,1452151483366.6152,397136728163.6677
-8,-20,randomforest,index=9.271677,271677.6816,near_onb,60,1810871282318.218,2064701156543.5315,-253829874225.31348
-8,-20,conformer,index=9.271677,271677.6816,near_onb,60,3244786535846.7515,3119695619577.042,125090916269.70947
-8,-20,alexnet,index=9.271677,271677.6816,near_onb,60,2750470752126.446,1350920518068.6104,1399550234057.8354
-8,-20,ensemble__inner_holdout,index=9.271677,271677.6816,near_onb,60,2726722880859.6235,2092784112793.1123,633938768066.5112
-8,-20,equal_offline,index=9.271677,271677.6816,near_onb,60,2512350526731.1143,2075718768216.8481,436631758514.2661
