before,after,model,source_wav_id,region,sse_reduction_w_m2_squared,total_reduction_w_m2_squared,n_wavs_improved,n_wavs_worsened,below_onb_reduction_w_m2_squared,onb_or_above_reduction_w_m2_squared
-8,-20,randomforest,index=1.0,below_onb,-46304514618.377945,-310492821415.133484,7,11,139133189817.693878,-449626011232.827820
-8,-20,randomforest,index=10.322114,onb_or_above,-72005515049.523163,-310492821415.133484,7,11,139133189817.693878,-449626011232.827820
-8,-20,randomforest,index=11.376320,onb_or_above,-89255152931.520538,-310492821415.133484,7,11,139133189817.693878,-449626011232.827820
-8,-20,randomforest,index=12.434018,onb_or_above,-2691077513.052894,-310492821415.133484,7,11,139133189817.693878,-449626011232.827820
-8,-20,randomforest,index=13.496023,onb_or_above,-1316506264.291913,-310492821415.133484,7,11,139133189817.693878,-449626011232.827820
-8,-20,randomforest,index=14.562158,onb_or_above,723711122.678287,-310492821415.133484,7,11,139133189817.693878,-449626011232.827820
-8,-20,randomforest,index=15.633482,onb_or_above,-11360996816.175833,-310492821415.133484,7,11,139133189817.693878,-449626011232.827820
-8,-20,randomforest,index=16.709792,onb_or_above,3389108518.259131,-310492821415.133484,7,11,139133189817.693878,-449626011232.827820
-8,-20,randomforest,index=17.789500,onb_or_above,-2466565975.581161,-310492821415.133484,7,11,139133189817.693878,-449626011232.827820
-8,-20,randomforest,index=18.873637,onb_or_above,-20813142098.305500,-310492821415.133484,7,11,139133189817.693878,-449626011232.827820
-8,-20,randomforest,index=2.2380,below_onb,10824979406.385792,-310492821415.133484,7,11,139133189817.693878,-449626011232.827820
-8,-20,randomforest,index=3.21242,below_onb,-23838304735.624588,-310492821415.133484,7,11,139133189817.693878,-449626011232.827820
-8,-20,randomforest,index=4.58389,below_onb,-3765753428.684206,-310492821415.133484,7,11,139133189817.693878,-449626011232.827820
-8,-20,randomforest,index=5.113188,below_onb,18918129517.194454,-310492821415.133484,7,11,139133189817.693878,-449626011232.827820
-8,-20,randomforest,index=6.146381,below_onb,46013476692.112328,-310492821415.133484,7,11,139133189817.693878,-449626011232.827820
-8,-20,randomforest,index=7.184190,below_onb,57245581166.241043,-310492821415.133484,7,11,139133189817.693878,-449626011232.827820
-8,-20,randomforest,index=8.225704,below_onb,80039595818.446991,-310492821415.133484,7,11,139133189817.693878,-449626011232.827820
-8,-20,randomforest,index=9.271677,onb_or_above,-253829874225.313782,-310492821415.133484,7,11,139133189817.693878,-449626011232.827820
-8,-20,conformer,index=1.0,below_onb,41960788815.278419,2125199913332.985352,8,10,2866461624480.639648,-741261711147.651611
-8,-20,conformer,index=10.322114,onb_or_above,-14351986678.852066,2125199913332.985352,8,10,2866461624480.639648,-741261711147.651611
-8,-20,conformer,index=11.376320,onb_or_above,-67513394795.143440,2125199913332.985352,8,10,2866461624480.639648,-741261711147.651611
-8,-20,conformer,index=12.434018,onb_or_above,-203261915829.009399,2125199913332.985352,8,10,2866461624480.639648,-741261711147.651611
-8,-20,conformer,index=13.496023,onb_or_above,-233094224634.115723,2125199913332.985352,8,10,2866461624480.639648,-741261711147.651611
-8,-20,conformer,index=14.562158,onb_or_above,-73249446541.043564,2125199913332.985352,8,10,2866461624480.639648,-741261711147.651611
-8,-20,conformer,index=15.633482,onb_or_above,52504261811.128418,2125199913332.985352,8,10,2866461624480.639648,-741261711147.651611
-8,-20,conformer,index=16.709792,onb_or_above,35002161459.224823,2125199913332.985352,8,10,2866461624480.639648,-741261711147.651611
-8,-20,conformer,index=17.789500,onb_or_above,-102745461103.601456,2125199913332.985352,8,10,2866461624480.639648,-741261711147.651611
-8,-20,conformer,index=18.873637,onb_or_above,-259642621105.948364,2125199913332.985352,8,10,2866461624480.639648,-741261711147.651611
-8,-20,conformer,index=2.2380,below_onb,-24710338061.620384,2125199913332.985352,8,10,2866461624480.639648,-741261711147.651611
-8,-20,conformer,index=3.21242,below_onb,-14586457509.573589,2125199913332.985352,8,10,2866461624480.639648,-741261711147.651611
-8,-20,conformer,index=4.58389,below_onb,69403701031.738297,2125199913332.985352,8,10,2866461624480.639648,-741261711147.651611
-8,-20,conformer,index=5.113188,below_onb,661566794654.430664,2125199913332.985352,8,10,2866461624480.639648,-741261711147.651611
-8,-20,conformer,index=6.146381,below_onb,1260058174485.296875,2125199913332.985352,8,10,2866461624480.639648,-741261711147.651611
-8,-20,conformer,index=7.184190,below_onb,963886506674.626587,2125199913332.985352,8,10,2866461624480.639648,-741261711147.651611
-8,-20,conformer,index=8.225704,below_onb,-91117545609.538818,2125199913332.985352,8,10,2866461624480.639648,-741261711147.651611
-8,-20,conformer,index=9.271677,onb_or_above,125090916269.709198,2125199913332.985352,8,10,2866461624480.639648,-741261711147.651611
-8,-20,alexnet,index=1.0,below_onb,-182804989941.569275,7433373729040.416992,13,5,3310742657178.110840,4122631071862.310059
-8,-20,alexnet,index=10.322114,onb_or_above,1662087053234.826660,7433373729040.416992,13,5,3310742657178.110840,4122631071862.310059
-8,-20,alexnet,index=11.376320,onb_or_above,439308264030.370605,7433373729040.416992,13,5,3310742657178.110840,4122631071862.310059
-8,-20,alexnet,index=12.434018,onb_or_above,204129438927.432526,7433373729040.416992,13,5,3310742657178.110840,4122631071862.310059
-8,-20,alexnet,index=13.496023,onb_or_above,104738790753.284515,7433373729040.416992,13,5,3310742657178.110840,4122631071862.310059
-8,-20,alexnet,index=14.562158,onb_or_above,25921822753.609787,7433373729040.416992,13,5,3310742657178.110840,4122631071862.310059
-8,-20,alexnet,index=15.633482,onb_or_above,-11188253109.325485,7433373729040.416992,13,5,3310742657178.110840,4122631071862.310059
-8,-20,alexnet,index=16.709792,onb_or_above,46199308.154718,7433373729040.416992,13,5,3310742657178.110840,4122631071862.310059
-8,-20,alexnet,index=17.789500,onb_or_above,68372729662.091721,7433373729040.416992,13,5,3310742657178.110840,4122631071862.310059
-8,-20,alexnet,index=18.873637,onb_or_above,229664792244.028717,7433373729040.416992,13,5,3310742657178.110840,4122631071862.310059
-8,-20,alexnet,index=2.2380,below_onb,-469413694383.778381,7433373729040.416992,13,5,3310742657178.110840,4122631071862.310059
-8,-20,alexnet,index=3.21242,below_onb,-269118544696.809784,7433373729040.416992,13,5,3310742657178.110840,4122631071862.310059
-8,-20,alexnet,index=4.58389,below_onb,-169513522278.774811,7433373729040.416992,13,5,3310742657178.110840,4122631071862.310059
-8,-20,alexnet,index=5.113188,below_onb,513382772809.344238,7433373729040.416992,13,5,3310742657178.110840,4122631071862.310059
-8,-20,alexnet,index=6.146381,below_onb,1283859447670.352539,7433373729040.416992,13,5,3310742657178.110840,4122631071862.310059
-8,-20,alexnet,index=7.184190,below_onb,1532647719375.506592,7433373729040.416992,13,5,3310742657178.110840,4122631071862.310059
-8,-20,alexnet,index=8.225704,below_onb,1071703468623.838501,7433373729040.416992,13,5,3310742657178.110840,4122631071862.310059
