selection,snr,experiment_name,source_wav_id,chunk_index,y_true_w_m2,region,weight_randomforest,weight_conformer,weight_alexnet,weighted_diagonal_w_m2_squared,weighted_cross_w_m2_squared,ensemble_minus_best_single_sse_w_m2_squared,ensemble_minus_equal_sse_w_m2_squared,prediction_randomforest_w_m2,residual_randomforest_w_m2,sse_randomforest_w_m2_squared,miss_randomforest,false_alarm_randomforest,prediction_conformer_w_m2,residual_conformer_w_m2,sse_conformer_w_m2_squared,miss_conformer,false_alarm_conformer,prediction_alexnet_w_m2,residual_alexnet_w_m2,sse_alexnet_w_m2_squared,miss_alexnet,false_alarm_alexnet,prediction_ensemble__inner_holdout_w_m2,residual_ensemble__inner_holdout_w_m2,sse_ensemble__inner_holdout_w_m2_squared,miss_ensemble__inner_holdout,false_alarm_ensemble__inner_holdout,prediction_equal_offline_w_m2,residual_equal_offline_w_m2,sse_equal_offline_w_m2_squared,miss_equal_offline,false_alarm_equal_offline
ensemble_best_vs_all_singles,no_noise,2025.06.18_0.3_3,index=2.2380,22,2380.025286,below_onb,0.14361027080015779,0.6813582333783545,0.17503149582148775,7615275573.176782,5311317980.089027,5173049814.976477,2567313147.1603756,90434.234375,88054.209089,7753543738.28933,0,0,126840.2578125,124460.2325265,15490349480.550447,0,0,95207.234375,92827.209089,8616890747.252924,0,0,116075.20351826193,113695.17823226193,12926593553.265806,0,0,104160.57552083333,101780.55023483332,10359280406.10543,0,0
ensemble_worst_vs_best_single,no_noise,2025.06.18_0.3_3,index=2.2380,21,2380.025286,below_onb,0.14361027080015779,0.6813582333783545,0.17503149582148775,17037692554.990202,7812072509.517708,20378258267.834892,9960213362.528355,69249.3515625,66869.3262765,4471506796.673013,0,0,191320.71875,188940.693464,35698585646.65722,0,0,112638.2578125,110258.2325265,12156877839.867743,0,0,160018.10781845122,157638.08253245123,24849765064.507904,0,0,124402.77604166667,122022.75075566667,14889551701.97955,0,0
ensemble_best_vs_all_singles,no_noise,2025.06.18_0.3_3,index=3.21242,30,21242.86319,below_onb,0.14361027080015779,0.6813582333783545,0.17503149582148775,1112256132.650034,958219999.5255659,697907928.3791504,98628387.657475,70535.7890625,49292.925872499996,2429792541.0717797,0,0,68118.2265625,46875.363372499996,2197299691.303914,0,0,58291.05078125,37048.187591249996,1372568203.7964501,0,0,66745.34809110843,45502.48490110843,2070476132.1756005,0,0,65648.35546875,44405.492278749996,1971847744.5181255,0,0
ensemble_worst_vs_best_single,no_noise,2025.06.18_0.3_3,index=3.21242,57,21242.86319,below_onb,0.14361027080015779,0.6813582333783545,0.17503149582148775,18498153743.337505,5978681139.552245,21897007212.80771,12416235158.36101,72034.8671875,50792.003997499996,2579827670.0820556,0,0,219495.109375,198252.246185,39303953117.39784,0,0,101660.8984375,80418.0352475,6467060393.068151,0,0,177693.60586286098,156450.74267286097,24476834882.889763,0,0,131063.625,109820.76181,12060599724.528753,0,0
ensemble_best_vs_all_singles,no_noise,2025.06.18_0.3_3,index=4.58389,38,58389.85471,below_onb,0.14361027080015779,0.6813582333783545,0.17503149582148775,623089635.2029605,93964957.16876456,645981538.367865,476412792.05585206,49959.37109375,-8430.48361625,71073054.00385967,0,0,94665.6015625,36275.7468525,1315929809.7066636,0,0,77082.4921875,18692.6374775,349414695.8652376,0,0,85167.72976332947,26777.875053329466,717054592.3717246,0,0,73902.48828125,15512.63357125,240641800.31587255,0,0
ensemble_worst_vs_best_single,no_noise,2025.06.18_0.3_3,index=4.58389,9,58389.85471,below_onb,0.14361027080015779,0.6813582333783545,0.17503149582148775,6856217523.264524,2218444129.5557675,8982623622.869959,4711449616.846932,67983.5,9593.64529,92038029.9503392,0,0,178623.578125,120233.723415,14456148246.23472,0,0,126726.328125,68336.473415,4669873598.799002,0,0,153650.87324759646,95261.01853759646,9074661652.820297,0,0,124444.46875,66054.61404,4363212035.973365,0,0
ensemble_best_vs_all_singles,no_noise,2025.06.18_0.3_3,index=5.113188,11,113188.2901,below_onb,0.14361027080015779,0.6813582333783545,0.17503149582148775,1456794758.9341521,-65372320.52134824,-1346354719.7541971,1104890989.5439065,52068.77734375,-61119.51275625,3735594839.561406,0,0,165512.0625,52323.7724,2737777158.1670017,0,0,172765.75,59577.4599,3549473728.1361084,0,0,150490.06537159806,37301.77527159806,1391422438.4128046,0,0,130115.52994791667,16927.239847916673,286531448.8688981,0,0
ensemble_worst_vs_best_single,no_noise,2025.06.18_0.3_3,index=5.113188,32,113188.2901,below_onb,0.14361027080015779,0.6813582333783545,0.17503149582148775,1812739125.4611502,3194589294.5295806,3072932116.54533,-5710766138.783575,299965.59375,186777.30365000002,34885761158.76431,0,1,157170.0625,43981.7724,1934396303.445402,0,0,193013.90625,79825.61615,6372128993.727141,0,0,183950.7689994191,70762.47889941909,5007328419.990732,0,0,216716.52083333334,103528.23073333334,10718094558.774307,0,0
ensemble_best_vs_all_singles,no_noise,2025.06.18_0.3_3,index=6.146381,2,146381.6505,below_onb,0.14361027080015779,0.6813582333783545,0.17503149582148775,134876726.54322183,5308494.133494001,122349595.49931523,-817531554.797367,74080.734375,-72300.91612499999,5227422472.514283,0,0,150604.875,4223.224500000011,17835625.177400343,0,0,121618.34375,-24763.30674999999,613221361.194595,0,0,134541.6665187306,-11839.983981269383,140185220.67671558,0,0,115434.65104166667,-30946.999458333317,957716775.4740826,0,0
ensemble_worst_vs_best_single,no_noise,2025.06.18_0.3_3,index=6.146381,47,146381.6505,below_onb,0.14361027080015779,0.6813582333783545,0.17503149582148775,3471502386.7552195,1640562369.755102,4667014553.568952,1723482600.6956124,77932.421875,-68449.22862499999,4685296899.357518,0,0,61292.50390625,-85089.14659374999,7240162868.052675,0,0,125285.4375,-21096.21299999999,445050202.9413685,0,0,74882.9459207538,-71498.70457924619,5112064756.51032,0,0,88170.12109375,-58211.52940624999,3388582155.8147073,0,0
