day,role,feature,heat_flux,q_ratio,threshold_db,median_db,n,kept
2025.06.11_0.3_2,training,band_2000_3000_db,859343.9142,2.3289834886002247,-53.742956361291846,-31.276994665301295,60,60
2025.06.11_0.3_2,training,band_3000_5000_db,0.000328047,8.890690140001667e-10,-71.60571206781134,-86.07584600002917,60,0
2025.06.11_0.3_2,training,band_3000_5000_db,2355.33535,0.0063834013945082,-71.60571206781134,-83.33847718317335,60,0
2025.06.11_0.3_2,training,band_3000_5000_db,20979.71604,0.0568589728108663,-71.60571206781134,-83.2429708688268,60,0
2025.06.11_0.3_2,training,band_3000_5000_db,57593.31665,0.1560887106024895,-71.60571206781134,-83.14954287112278,60,0
2025.06.11_0.3_2,training,band_3000_5000_db,111264.7017,0.3015482495905821,-71.60571206781134,-83.21958525985335,60,0
2025.06.11_0.3_2,training,band_3000_5000_db,144324.2618,0.391145869752895,-71.60571206781134,-83.45346556959672,60,0
2025.06.11_0.3_2,training,band_3000_5000_db,181378.003,0.49156847125116,-71.60571206781134,-83.81427517373879,60,0
2025.06.11_0.3_2,training,band_3000_5000_db,221505.1102,0.6003204721320795,-71.60571206781134,-85.620569348276,60,0
2025.06.11_0.3_2,training,band_3000_5000_db,266907.6965,0.7233700127003472,-71.60571206781134,-79.78864963757772,60,3
2025.06.11_0.3_2,training,band_3000_5000_db,315466.1173,0.854972457783098,-71.60571206781134,-78.4826451188842,60,3
2025.06.11_0.3_2,training,band_3000_5000_db,368978.105,1.0,-71.60571206781134,-67.79490614749052,60,53
2025.06.11_0.3_2,training,band_3000_5000_db,427276.195,1.1579987788164288,-71.60571206781134,-63.38459334986483,60,60
2025.06.11_0.3_2,training,band_3000_5000_db,489453.9981,1.3265123091788875,-71.60571206781134,-59.36046134812998,60,60
2025.06.11_0.3_2,training,band_3000_5000_db,554196.3218,1.501976172271794,-71.60571206781134,-55.1808338796158,60,60
2025.06.11_0.3_2,training,band_3000_5000_db,624442.5514,1.6923566546042077,-71.60571206781134,-53.047856574607565,60,60
2025.06.11_0.3_2,training,band_3000_5000_db,698421.296,1.8928529539713477,-71.60571206781134,-50.3588319059046,60,60
2025.06.11_0.3_2,training,band_3000_5000_db,776647.2223,2.104859913842313,-71.60571206781134,-48.46206108165747,60,60
2025.06.11_0.3_2,training,band_3000_5000_db,859343.9142,2.3289834886002247,-71.60571206781134,-46.55958308184749,60,60
2025.06.11_0.3_2,training,band_5000_10000_db,0.000328047,8.890690140001667e-10,-62.4399699359573,-87.33024263221691,60,0
2025.06.11_0.3_2,training,band_5000_10000_db,2355.33535,0.0063834013945082,-62.4399699359573,-85.18299839811124,60,0
2025.06.11_0.3_2,training,band_5000_10000_db,20979.71604,0.0568589728108663,-62.4399699359573,-85.08689116576514,60,0
2025.06.11_0.3_2,training,band_5000_10000_db,57593.31665,0.1560887106024895,-62.4399699359573,-84.75834315752749,60,0
2025.06.11_0.3_2,training,band_5000_10000_db,111264.7017,0.3015482495905821,-62.4399699359573,-85.31480612812885,60,0
2025.06.11_0.3_2,training,band_5000_10000_db,144324.2618,0.391145869752895,-62.4399699359573,-85.33636557051659,60,0
2025.06.11_0.3_2,training,band_5000_10000_db,181378.003,0.49156847125116,-62.4399699359573,-85.53847827085772,60,0
2025.06.11_0.3_2,training,band_5000_10000_db,221505.1102,0.6003204721320795,-62.4399699359573,-86.54291248829068,60,0
2025.06.11_0.3_2,training,band_5000_10000_db,266907.6965,0.7233700127003472,-62.4399699359573,-77.22639317777589,60,3
2025.06.11_0.3_2,training,band_5000_10000_db,315466.1173,0.854972457783098,-62.4399699359573,-74.65857583783162,60,3
2025.06.11_0.3_2,training,band_5000_10000_db,368978.105,1.0,-62.4399699359573,-59.21152626965571,60,47
2025.06.11_0.3_2,training,band_5000_10000_db,427276.195,1.1579987788164288,-62.4399699359573,-53.96317850236721,60,60
2025.06.11_0.3_2,training,band_5000_10000_db,489453.9981,1.3265123091788875,-62.4399699359573,-49.280885831512045,60,60
2025.06.11_0.3_2,training,band_5000_10000_db,554196.3218,1.501976172271794,-62.4399699359573,-45.80252214350083,60,60
2025.06.11_0.3_2,training,band_5000_10000_db,624442.5514,1.6923566546042077,-62.4399699359573,-43.17827284927892,60,60
2025.06.11_0.3_2,training,band_5000_10000_db,698421.296,1.8928529539713477,-62.4399699359573,-40.8082515134473,60,60
2025.06.11_0.3_2,training,band_5000_10000_db,776647.2223,2.104859913842313,-62.4399699359573,-39.006970816320205,60,60
2025.06.11_0.3_2,training,band_5000_10000_db,859343.9142,2.3289834886002247,-62.4399699359573,-37.32129369240411,60,60
2025.06.11_0.3_2,training,band_10000_15000_db,0.000328047,8.890690140001667e-10,-73.54875972919895,-90.57272638435143,60,0
2025.06.11_0.3_2,training,band_10000_15000_db,2355.33535,0.0063834013945082,-73.54875972919895,-88.97318183938616,60,0
2025.06.11_0.3_2,training,band_10000_15000_db,20979.71604,0.0568589728108663,-73.54875972919895,-88.46646400545848,60,0
2025.06.11_0.3_2,training,band_10000_15000_db,57593.31665,0.1560887106024895,-73.54875972919895,-88.10348060373167,60,0
2025.06.11_0.3_2,training,band_10000_15000_db,111264.7017,0.3015482495905821,-73.54875972919895,-88.7641599738914,60,0
2025.06.11_0.3_2,training,band_10000_15000_db,144324.2618,0.391145869752895,-73.54875972919895,-88.62616988199505,60,0
2025.06.11_0.3_2,training,band_10000_15000_db,181378.003,0.49156847125116,-73.54875972919895,-88.9395027267747,60,0
2025.06.11_0.3_2,training,band_10000_15000_db,221505.1102,0.6003204721320795,-73.54875972919895,-89.36960004521245,60,0
2025.06.11_0.3_2,training,band_10000_15000_db,266907.6965,0.7233700127003472,-73.54875972919895,-86.45605254446505,60,1
2025.06.11_0.3_2,training,band_10000_15000_db,315466.1173,0.854972457783098,-73.54875972919895,-84.93363313429103,60,5
2025.06.11_0.3_2,training,band_10000_15000_db,368978.105,1.0,-73.54875972919895,-70.38275214846459,60,49
2025.06.11_0.3_2,training,band_10000_15000_db,427276.195,1.1579987788164288,-73.54875972919895,-64.64575568783985,60,60
2025.06.11_0.3_2,training,band_10000_15000_db,489453.9981,1.3265123091788875,-73.54875972919895,-60.58174907177779,60,60
2025.06.11_0.3_2,training,band_10000_15000_db,554196.3218,1.501976172271794,-73.54875972919895,-57.00233861905113,60,60
