experiment_name,source_wav_id,chunk_index,chunk_start_seconds,chunk_duration_seconds,heat_flux,sample_filename,onb_threshold,q_over_onb,signal_power,band_500_1000_db,band_1000_2000_db,band_2000_3000_db,band_3000_5000_db,band_5000_10000_db,band_10000_15000_db,band_15000_22050_db,band_1000_5000_db,band_2000_5000_db
2025.06.18_0.3_3,index=8.225704,45,45.0,1,225704.9618,225704.9618_src-index=8.225704_chunk-0045.npy,376320.1201,0.5997685208540621,1.3568793391474259e-08,-83.9456569409816,-84.35036373566871,-86.69497029746621,-90.60958355194671,-90.70946442242283,-93.25486587554927,-88.66361189835672,-81.75093611155299,-85.21508058786233
2025.06.18_0.3_3,index=8.225704,46,46.0,1,225704.9618,225704.9618_src-index=8.225704_chunk-0046.npy,376320.1201,0.5997685208540621,1.3342846724972945e-08,-84.01186926482602,-84.8293672582567,-86.5085177374936,-89.73823805161742,-90.71936034751249,-93.2787042187057,-88.70651516485023,-81.81414113385445,-84.8195205041144
2025.06.18_0.3_3,index=8.225704,47,47.0,1,225704.9618,225704.9618_src-index=8.225704_chunk-0047.npy,376320.1201,0.5997685208540621,1.3316421512805706e-08,-84.02268337049475,-84.89861206337648,-86.54458189177578,-90.02777129165173,-90.46812863388956,-93.09032162026364,-88.71946190417582,-81.90679103388284,-84.93564888031456
2025.06.18_0.3_3,index=8.225704,48,48.0,1,225704.9618,225704.9618_src-index=8.225704_chunk-0048.npy,376320.1201,0.5997685208540621,1.2659936369468119e-08,-84.05463172542888,-85.18999922477187,-86.73407824385606,-90.50038705247738,-90.7887089067251,-93.34576309480195,-88.7712242934096,-82.19010732537568,-85.21084034255706
2025.06.18_0.3_3,index=8.225704,49,49.0,1,225704.9618,225704.9618_src-index=8.225704_chunk-0049.npy,376320.1201,0.5997685208540621,1.2964317542792761e-08,-84.05024852395562,-84.87650452439843,-86.837210957915,-89.97554070698833,-90.50771483324542,-92.98215200273097,-88.85433437561927,-81.98554467580804,-85.11855698054639
2025.06.18_0.3_3,index=8.225704,50,50.0,1,225704.9618,225704.9618_src-index=8.225704_chunk-0050.npy,376320.1201,0.5997685208540621,4.639927196384773e-08,-82.37637914453134,-80.28755065961597,-76.52845143003543,-87.10854938031595,-81.61243590883643,-90.64932848803645,-88.27886664755226,-74.74354444930188,-76.16417313399764
2025.06.18_0.3_3,index=8.225704,51,51.0,1,225704.9618,225704.9618_src-index=8.225704_chunk-0051.npy,376320.1201,0.5997685208540621,1.4272667506011186e-08,-83.54534718887392,-85.02363450702444,-86.66275251537434,-90.14925609624059,-87.26307843654503,-92.78570286254703,-88.76783513165782,-82.02891189619449,-85.05484527291242
2025.06.18_0.3_3,index=8.225704,52,52.0,1,225704.9618,225704.9618_src-index=8.225704_chunk-0052.npy,376320.1201,0.5997685208540621,1.2771864435728285e-08,-84.07730262902476,-84.95654800989938,-86.63867094391038,-90.79839592474919,-90.97784387994383,-93.19376719796942,-88.71158229257946,-82.07992741530033,-85.22815252794496
2025.06.18_0.3_3,index=8.225704,53,53.0,1,225704.9618,225704.9618_src-index=8.225704_chunk-0053.npy,376320.1201,0.5997685208540621,1.3292674980817965e-08,-83.87824442884926,-84.90830325579303,-86.5616620370846,-90.12400320170768,-90.53496777725094,-93.20140608452917,-88.74120729741755,-81.93225545344374,-84.977079854914
2025.06.18_0.3_3,index=8.225704,54,54.0,1,225704.9618,225704.9618_src-index=8.225704_chunk-0054.npy,376320.1201,0.5997685208540621,2.0671712767491338e-08,-84.14848607461879,-84.55740395064487,-84.01325330179566,-88.29827755382911,-82.9956003292435,-92.17407126718165,-88.58616524590181,-80.48168205500386,-82.63712174521673
2025.06.18_0.3_3,index=8.225704,55,55.0,1,225704.9618,225704.9618_src-index=8.225704_chunk-0055.npy,376320.1201,0.5997685208540621,1.2529780270999206e-08,-84.30106399926672,-85.02967023105941,-86.76575072997606,-90.84951954892851,-90.91213362125097,-93.05443072605448,-88.73219048864983,-82.16888685012924,-85.33403495691708
2025.06.18_0.3_3,index=8.225704,56,56.0,1,225704.9618,225704.9618_src-index=8.225704_chunk-0056.npy,376320.1201,0.5997685208540621,1.2329945120911074e-08,-84.23430387849325,-85.22095956188926,-86.99578007411031,-90.41342833354449,-90.8405565673918,-93.23448038257176,-88.76901161279393,-82.28279571814754,-85.36645023197897
