experiment_name,max_freq_hz,noise_dir_name,snr_value,model_key,top_frequency_group,mean_r2_drop_after_mask,contributing_fold_rows
2025.07.09_0.3_1,maxfreq=3kHz,heatflux_reference_SNR=-12,-12,rf,freq_2000_3000Hz,0.2323301607,3
2025.07.09_0.3_1,maxfreq=3kHz,heatflux_reference_SNR=-16,-16,alexnet,freq_2000_3000Hz,73.08555485,3
2025.07.09_0.3_1,maxfreq=3kHz,heatflux_reference_SNR=-16,-16,cnntf_v2_gap,freq_1000_2000Hz,1.940189876,3
2025.07.09_0.3_1,maxfreq=3kHz,heatflux_reference_SNR=-16,-16,rf,freq_2000_3000Hz,0.2018798948,3
2025.07.09_0.3_1,maxfreq=3kHz,heatflux_reference_SNR=-20,-20,alexnet,freq_2000_3000Hz,47.95164931,3
2025.07.09_0.3_1,maxfreq=3kHz,heatflux_reference_SNR=-20,-20,cnntf_v2_gap,freq_1000_2000Hz,1.6958554,3
2025.07.09_0.3_1,maxfreq=3kHz,heatflux_reference_SNR=-20,-20,rf,freq_2000_3000Hz,0.1578648923,3
2025.07.09_0.3_1,maxfreq=3kHz,heatflux_reference_SNR=-4,-4,alexnet,freq_2000_3000Hz,45.28691822,3
2025.07.09_0.3_1,maxfreq=3kHz,heatflux_reference_SNR=-4,-4,cnntf_v2_gap,freq_2000_3000Hz,2.937762547,3
2025.07.09_0.3_1,maxfreq=3kHz,heatflux_reference_SNR=-4,-4,rf,freq_2000_3000Hz,0.3445538625,3
2025.07.09_0.3_1,maxfreq=3kHz,heatflux_reference_SNR=-8,-8,alexnet,freq_2000_3000Hz,49.7296001,3
2025.07.09_0.3_1,maxfreq=3kHz,heatflux_reference_SNR=-8,-8,cnntf_v2_gap,freq_2000_3000Hz,2.845166042,3
2025.07.09_0.3_1,maxfreq=3kHz,heatflux_reference_SNR=-8,-8,rf,freq_2000_3000Hz,0.2732727121,3
2025.07.09_0.3_1,maxfreq=3kHz,heatflux_reference_SNR=0,0,alexnet,freq_2000_3000Hz,67.58375654,3
2025.07.09_0.3_1,maxfreq=3kHz,heatflux_reference_SNR=0,0,cnntf_v2_gap,freq_2000_3000Hz,3.206649876,3
2025.07.09_0.3_1,maxfreq=3kHz,heatflux_reference_SNR=0,0,rf,freq_2000_3000Hz,0.4430886269,3
2025.07.09_0.3_1,maxfreq=3kHz,heatflux_no_noise,no_noise,alexnet,freq_2000_3000Hz,69.02243883,3
2025.07.09_0.3_1,maxfreq=3kHz,heatflux_no_noise,no_noise,cnntf_v2_gap,freq_2000_3000Hz,3.223529357,3
2025.07.09_0.3_1,maxfreq=3kHz,heatflux_no_noise,no_noise,rf,freq_2000_3000Hz,0.4824024037,3
2025.07.09_0.3_1,maxfreq=5kHz,heatflux_reference_SNR=-12,-12,alexnet,freq_2000_5000Hz,237.1744801,3
2025.07.09_0.3_1,maxfreq=5kHz,heatflux_reference_SNR=-12,-12,cnntf_v2_gap,freq_2000_5000Hz,3.253246131,3
2025.07.09_0.3_1,maxfreq=5kHz,heatflux_reference_SNR=-12,-12,rf,freq_2000_5000Hz,0.2397917276,3
2025.07.09_0.3_1,maxfreq=5kHz,heatflux_reference_SNR=-16,-16,alexnet,freq_2000_5000Hz,134.8370916,3
