experiment_name,max_freq_hz,snr_value,model_key,model_label,claim_safe,best_single_model_by_r2,best_single_r2,r2_mean,r2_delta_vs_best_single,best_single_recall,recall_mean,recall_delta_vs_best_r2_single,best_single_f1,f1_mean,f1_delta_vs_best_r2_single
2025.07.09_0.3_1,maxfreq=5kHz,-16,ensemble__inner_holdout,ensemble__inner_holdout,True,cnntf_v2_gap,0.4612261025,0.4051777,-0.0560484025,0.9092592593,0.8148148148,-0.0944444445,0.8323400628,0.7860940021,-0.0462460607
2025.07.09_0.3_1,maxfreq=5kHz,-16,ensemble__prediction_max,ensemble__prediction_max,True,cnntf_v2_gap,0.4612261025,0.4325187633,-0.0287073392,0.9092592593,0.9777777778,0.0685185185,0.8323400628,0.8499010273,0.0175609645
2025.07.09_0.3_1,maxfreq=5kHz,-16,ensemble__simple_equal,ensemble__simple_equal,True,cnntf_v2_gap,0.4612261025,0.4125918974,-0.0486342051,0.9092592593,0.8222222222,-0.0870370371,0.8323400628,0.7924497984,-0.0398902644
2025.07.09_0.3_1,maxfreq=5kHz,-16,ensemble__val_fold_legacy,ensemble__val_fold_legacy,False,cnntf_v2_gap,0.4612261025,0.4834403895,0.022214287,0.9092592593,0.9,-0.0092592593,0.8323400628,0.8404242908,0.008084228
2025.07.09_0.3_1,maxfreq=5kHz,-20,ensemble__inner_holdout,ensemble__inner_holdout,True,alexnet,0.4328661947,0.4470558051,0.0141896104,0.8037037037,0.8407407407,0.037037037,0.7773824644,0.8021566046,0.0247741402
2025.07.09_0.3_1,maxfreq=5kHz,-20,ensemble__prediction_max,ensemble__prediction_max,True,alexnet,0.4328661947,0.4091425952,-0.0237235995,0.8037037037,0.9703703704,0.1666666667,0.7773824644,0.8316087647,0.0542263003
2025.07.09_0.3_1,maxfreq=5kHz,-20,ensemble__simple_equal,ensemble__simple_equal,True,alexnet,0.4328661947,0.4467872302,0.0139210355,0.8037037037,0.85,0.0462962963,0.7773824644,0.8090498028,0.0316673384
2025.07.09_0.3_1,maxfreq=5kHz,-20,ensemble__val_fold_legacy,ensemble__val_fold_legacy,False,alexnet,0.4328661947,0.4558343006,0.0229681059,0.8037037037,0.8555555556,0.0518518519,0.7773824644,0.8098504422,0.0324679778
2025.07.09_0.3_1,maxfreq=5kHz,-4,ensemble__inner_holdout,ensemble__inner_holdout,True,cnntf_v2_gap,0.5793195415,0.5528472522,-0.0264722893,0.9185185185,0.9222222222,0.0037037037,0.8647991353,0.8916160784,0.0268169431
2025.07.09_0.3_1,maxfreq=5kHz,-4,ensemble__prediction_max,ensemble__prediction_max,True,cnntf_v2_gap,0.5793195415,0.5255561439,-0.0537633976,0.9185185185,0.9481481481,0.0296296296,0.8647991353,0.8741254228,0.0093262875
2025.07.09_0.3_1,maxfreq=5kHz,-4,ensemble__simple_equal,ensemble__simple_equal,True,cnntf_v2_gap,0.5793195415,0.5673847851,-0.0119347564,0.9185185185,0.9259259259,0.0074074074,0.8647991353,0.8938777089,0.0290785736
2025.07.09_0.3_1,maxfreq=5kHz,-4,ensemble__val_fold_legacy,ensemble__val_fold_legacy,False,cnntf_v2_gap,0.5793195415,0.5760474404,-0.0032721011,0.9185185185,0.9277777778,0.0092592593,0.8647991353,0.8939040155,0.0291048802
2025.07.09_0.3_1,maxfreq=5kHz,-8,ensemble__inner_holdout,ensemble__inner_holdout,True,cnntf_v2_gap,0.541372126,0.5226314821,-0.0187406439,0.8888888889,0.8833333333,-0.0055555556,0.8389952506,0.8617759682,0.0227807176
2025.07.09_0.3_1,maxfreq=5kHz,-8,ensemble__prediction_max,ensemble__prediction_max,True,cnntf_v2_gap,0.541372126,0.492066,-0.049306126,0.8888888889,0.95,0.0611111111,0.8389952506,0.8625139521,0.0235187015
2025.07.09_0.3_1,maxfreq=5kHz,-8,ensemble__simple_equal,ensemble__simple_equal,True,cnntf_v2_gap,0.541372126,0.5318477008,-0.0095244252,0.8888888889,0.8907407407,0.0018518518,0.8389952506,0.8685056501,0.0295103995
2025.07.09_0.3_1,maxfreq=5kHz,-8,ensemble__val_fold_legacy,ensemble__val_fold_legacy,False,cnntf_v2_gap,0.541372126,0.5541485591,0.0127764331,0.8888888889,0.9,0.0111111111,0.8389952506,0.8762528829,0.0372576323
2025.07.09_0.3_1,maxfreq=5kHz,0,ensemble__inner_holdout,ensemble__inner_holdout,True,cnntf_v2_gap,0.5219066643,0.500095445,-0.0218112193,0.9092592593,0.9259259259,0.0166666666,0.8723550019,0.8907923353,0.0184373334
2025.07.09_0.3_1,maxfreq=5kHz,0,ensemble__prediction_max,ensemble__prediction_max,True,cnntf_v2_gap,0.5219066643,0.4417922766,-0.0801143877,0.9092592593,0.9666666667,0.0574074074,0.8723550019,0.8815299007,0.0091748988
2025.07.09_0.3_1,maxfreq=5kHz,0,ensemble__simple_equal,ensemble__simple_equal,True,cnntf_v2_gap,0.5219066643,0.4995624338,-0.0223442305,0.9092592593,0.9277777778,0.0185185185,0.8723550019,0.892703842,0.0203488401
2025.07.09_0.3_1,maxfreq=5kHz,0,ensemble__val_fold_legacy,ensemble__val_fold_legacy,False,cnntf_v2_gap,0.5219066643,0.5069786323,-0.014928032,0.9092592593,0.9240740741,0.0148148148,0.8723550019,0.8907074279,0.018352426
2025.07.09_0.3_1,maxfreq=5kHz,no_noise,ensemble__inner_holdout,ensemble__inner_holdout,True,cnntf_v2_gap,0.5238092865,0.5180603868,-0.0057488997,0.9222222222,0.9185185185,-0.0037037037,0.8831172332,0.8918426648,0.0087254316
2025.07.09_0.3_1,maxfreq=5kHz,no_noise,ensemble__prediction_max,ensemble__prediction_max,True,cnntf_v2_gap,0.5238092865,0.5068289458,-0.0169803407,0.9222222222,0.9425925926,0.0203703704,0.8831172332,0.8889789493,0.0058617161
2025.07.09_0.3_1,maxfreq=5kHz,no_noise,ensemble__simple_equal,ensemble__simple_equal,True,cnntf_v2_gap,0.5238092865,0.52719299,0.0033837035,0.9222222222,0.9240740741,0.0018518519,0.8831172332,0.8947731154,0.0116558822
2025.07.09_0.3_1,maxfreq=5kHz,no_noise,ensemble__val_fold_legacy,ensemble__val_fold_legacy,False,cnntf_v2_gap,0.5238092865,0.537097319,0.0132880325,0.9222222222,0.9240740741,0.0018518519,0.8831172332,0.8947731154,0.0116558822
