source_wav_id,chunk_index,heat_flux,band_hz,signal_stft_power,noise20_stft_power,realized_band_snr_at_ref_minus20,realized_band_snr_at_ref_zero
index=11.3.69E+05,30,368978.105,3000-5000,7.615076886335547e-07,3.9738488453477373e-07,2.824629489093091,22.82462948909309
index=11.3.69E+05,30,368978.105,5000-10000,1.5231162923175134e-05,1.2332727545712567e-05,0.9167392648284698,20.91673926482847
index=11.3.69E+05,30,368978.105,10000-15000,9.381539630575795e-07,3.299398763413439e-05,-15.46160689791564,4.53839310208436
index=11.3.69E+05,30,368978.105,15000-22050,5.571793826756131e-07,1.9401005726237185e-05,-15.418292060111954,4.581707939888046
index=11.3.69E+05,30,368978.105,500-3000,4.649441872935926e-05,2.1365312234872198e-06,13.37691578532316,33.37691578532316
index=11.3.69E+05,30,368978.105,3000-22050,1.748800395754188e-05,6.512510579061892e-05,-5.7100819889878345,14.289918011012166
index=11.3.69E+05,30,368978.105,0-22050,6.400197610723451e-05,6.727049294886384e-05,-0.21631226797654662,19.783687732023452
index=11.3.69E+05,59,368978.105,500-1000,4.276528602071123e-07,1.4234308639376297e-06,-5.222449973023711,14.77755002697629
index=11.3.69E+05,59,368978.105,1000-2000,1.7238863889532885e-06,2.1537695066987777e-07,9.033094167979495,29.033094167979495
index=11.3.69E+05,59,368978.105,2000-3000,9.693868127603331e-06,1.9634717284591896e-07,16.934724550652543,36.93472455065255
index=11.3.69E+05,59,368978.105,3000-5000,1.8540012121103402e-07,3.1352603372795725e-07,-2.281635946942284,17.718364053057716
index=11.3.69E+05,59,368978.105,5000-10000,4.986070717710047e-07,8.803116670416599e-06,-12.468780238994439,7.531219761005561
index=11.3.69E+05,59,368978.105,10000-15000,5.490624602581095e-08,3.761802899323205e-05,-28.35774285093472,-8.35774285093472
index=11.3.69E+05,59,368978.105,15000-22050,6.173746204239216e-08,1.8667815056408032e-05,-24.80544717487504,-4.805447174875042
index=11.3.69E+05,59,368978.105,500-3000,1.1845407376763734e-05,1.8351549874534266e-06,8.098772528422435,28.098772528422437
index=11.3.69E+05,59,368978.105,3000-22050,8.006509010502419e-07,6.540248675378464e-05,-19.12151064779649,0.8784893522035091
index=11.3.69E+05,59,368978.105,0-22050,1.2649986702587917e-05,6.724528607258909e-05,-7.255717764956536,12.744282235043464
index=12.4.27E+05,0,427276.195,500-1000,8.14234626528325e-06,3.4340345216325014e-06,3.749449107307934,23.749449107307935
index=12.4.27E+05,0,427276.195,1000-2000,3.119889843349994e-05,4.7051219214316043e-07,18.215683787169844,38.215683787169844
index=12.4.27E+05,0,427276.195,2000-3000,9.440578122633269e-05,4.49573190584588e-07,23.22198185427796,43.221981854277956
index=12.4.27E+05,0,427276.195,3000-5000,1.105459797902622e-06,7.874422966769743e-07,1.4732421450164548,21.473242145016457
index=12.4.27E+05,0,427276.195,5000-10000,1.2584761162341298e-05,1.319820927204971e-05,-0.20670032513162961,19.793299674868372
