seed,arm,model,threshold,region,chunks,wavs,sse_w_m2_squared,rmse_kw_m2,mean_residual_kw_m2
44,off,equal_offline,run_271677,above_onb,540,9,1785265733150.1414,57.49824044248435,-25.748548504938267
44,off,equal_offline,run_271677,near_onb,60,1,435015225266.3378,85.14842191396716,-79.51250577534722
44,off,equal_offline,source_text_376000,below_onb,600,10,6828274519864.548,106.67922728023287,35.08600948376434
44,off,equal_offline,source_text_376000,near_onb,60,1,427380573827.2611,84.39792393055463,-76.51553980486112
44,off,equal_offline,source_text_376000,above_onb,420,7,597679976592.5298,37.72330265652183,-7.205911686309528
44,on,randomforest,run_271677,below_onb,480,8,3654264222414.048,87.2527963068382,-28.853673281601207
44,on,randomforest,run_271677,above_onb,540,9,6283518775051.971,107.87096866036697,-80.24370823680489
44,on,randomforest,run_271677,near_onb,60,1,2108131874010.6387,187.4447418134492,-174.60789475104167
44,on,randomforest,source_text_376000,below_onb,600,10,8505830344528.167,119.06462072146765,-58.9221743269999
44,on,randomforest,source_text_376000,near_onb,60,1,540276564436.9626,94.8926204047644,-73.52624308177079
44,on,randomforest,source_text_376000,above_onb,420,7,2999807962511.532,84.51272040788737,-66.41180982619068
44,on,conformer,run_271677,below_onb,480,8,3666587133432.368,87.39978944282856,3.6589959281966133
44,on,conformer,run_271677,above_onb,540,9,4056877122085.0493,86.67603712254392,25.23647506759244
44,on,conformer,run_271677,near_onb,60,1,922624641157.6923,124.00434408773026,-115.08338010260401
44,on,conformer,source_text_376000,below_onb,600,10,5797262062064.699,98.29599908833777,-21.63292604249451
44,on,conformer,source_text_376000,near_onb,60,1,352732577524.63043,76.67383055565422,-62.45003702708328
44,on,conformer,source_text_376000,above_onb,420,7,2496094257085.785,77.09138450235515,60.01373719761888
44,on,alexnet,run_271677,below_onb,480,8,2712376346298.8677,75.17169716581705,-24.090154556015122
44,on,alexnet,run_271677,above_onb,540,9,4222994458167.677,88.43279995407768,10.968897622569402
44,on,alexnet,run_271677,near_onb,60,1,1430548137134.0518,154.4100675222772,-146.81349722499988
44,on,alexnet,source_text_376000,below_onb,600,10,5967192085828.348,99.72622595409518,-50.12315609783319
44,on,alexnet,source_text_376000,near_onb,60,1,568431762199.8214,97.33376959375587,-85.86010707916662
44,on,alexnet,source_text_376000,above_onb,420,7,1830295093572.4216,66.01397928383591,49.468144712499864
44,on,ensemble__inner_holdout,run_271677,below_onb,480,8,3129080943110.1914,80.73982060594119,-11.398110105510552
44,on,ensemble__inner_holdout,run_271677,above_onb,540,9,3166413600616.877,76.5749886714406,-0.07455525150468736
44,on,ensemble__inner_holdout,run_271677,near_onb,60,1,1246369085724.68,144.12778391209426,-136.72393105424504
44,on,ensemble__inner_holdout,source_text_376000,below_onb,600,10,5999268906279.696,99.9939073667299,-37.86573232951788
44,on,ensemble__inner_holdout,source_text_376000,near_onb,60,1,425893539763.51306,84.2509683192141,-71.91598459243262
44,on,ensemble__inner_holdout,source_text_376000,above_onb,420,7,1116701183408.533,51.56367269162359,31.713356960819876
44,on,equal_offline,run_271677,below_onb,480,8,3107288378028.2056,80.45817207857402,-16.428277303139875
44,on,equal_offline,run_271677,above_onb,540,9,2991008953006.6123,74.42382325929489,-14.679445182214538
44,on,equal_offline,run_271677,near_onb,60,1,1405449642910.9507,153.04953680159412,-145.50159069288202
44,on,equal_offline,source_text_376000,below_onb,600,10,6340083000053.101,102.7949658304749,-43.55941882244229
44,on,equal_offline,source_text_376000,near_onb,60,1,452526542967.98944,86.84531679639663,-73.94546239600695
44,on,equal_offline,source_text_376000,above_onb,420,7,711137430924.6836,41.14832146448364,14.35669069464285
