seed,model,source_wav_id,y_true_w_m2,region_run_threshold,chunks,sse_reduction_on_minus_off_w_m2_squared
43,ensemble__inner_holdout,index=8.225704,225704.9618,below_onb,60,-831791854664.9827
43,ensemble__inner_holdout,index=9.271677,271677.6816,near_onb,60,-966344675916.2504
43,equal_offline,index=1.0,-1.42e-06,below_onb,60,977146859342.0725
43,equal_offline,index=10.322114,322114.2428,above_onb,60,-1244631601655.7976
43,equal_offline,index=11.376320,376320.1201,above_onb,60,-85779397086.613
43,equal_offline,index=12.434018,434018.0833,above_onb,60,62573036680.97788
43,equal_offline,index=13.496023,496023.3525,above_onb,60,-2200771343.468993
43,equal_offline,index=14.562158,562158.7854,above_onb,60,-9508190669.060108
43,equal_offline,index=15.633482,633482.536,above_onb,60,7177172382.053743
43,equal_offline,index=16.709792,709792.7143,above_onb,60,28987495049.221317
43,equal_offline,index=17.789500,789500.1968,above_onb,60,-8510061287.552705
43,equal_offline,index=18.873637,873637.0359,above_onb,60,-91168035944.16626
43,equal_offline,index=2.2380,2380.025286,below_onb,60,1267275479052.8718
43,equal_offline,index=3.21242,21242.86319,below_onb,60,977578748946.204
43,equal_offline,index=4.58389,58389.85471,below_onb,60,797991608035.554
43,equal_offline,index=5.113188,113188.2901,below_onb,60,140386922936.31213
43,equal_offline,index=6.146381,146381.6505,below_onb,60,-273940298846.7209
43,equal_offline,index=7.184190,184190.9699,below_onb,60,-404520569306.999
43,equal_offline,index=8.225704,225704.9618,below_onb,60,-966972851076.772
43,equal_offline,index=9.271677,271677.6816,near_onb,60,-1026891031916.8524
44,randomforest,index=1.0,-1.42e-06,below_onb,60,1893867296363.2842
44,randomforest,index=10.322114,322114.2428,above_onb,60,-1734659476053.1707
44,randomforest,index=11.376320,376320.1201,above_onb,60,-88292840129.21185
44,randomforest,index=12.434018,434018.0833,above_onb,60,43513566668.17001
44,randomforest,index=13.496023,496023.3525,above_onb,60,21534134192.351673
44,randomforest,index=14.562158,562158.7854,above_onb,60,3067361871.3000207
44,randomforest,index=15.633482,633482.536,above_onb,60,12733212084.833912
44,randomforest,index=16.709792,709792.7143,above_onb,60,35052367149.6978
44,randomforest,index=17.789500,789500.1968,above_onb,60,-20188802450.109917
44,randomforest,index=18.873637,873637.0359,above_onb,60,-12729985690.556812
44,randomforest,index=2.2380,2380.025286,below_onb,60,1464380828870.4565
44,randomforest,index=3.21242,21242.86319,below_onb,60,1429830959835.6604
44,randomforest,index=4.58389,58389.85471,below_onb,60,852464771804.0825
44,randomforest,index=5.113188,113188.2901,below_onb,60,-41031542003.01253
44,randomforest,index=6.146381,146381.6505,below_onb,60,-152504948768.4174
44,randomforest,index=7.184190,184190.9699,below_onb,60,-332151912550.6403
44,randomforest,index=8.225704,225704.9618,below_onb,60,-1385560273717.2786
44,randomforest,index=9.271677,271677.6816,near_onb,60,-1473475408359.2605
44,conformer,index=1.0,-1.42e-06,below_onb,60,513005714563.80676
44,conformer,index=10.322114,322114.2428,above_onb,60,-290967877558.5241
44,conformer,index=11.376320,376320.1201,above_onb,60,46532449584.38576
44,conformer,index=12.434018,434018.0833,above_onb,60,-20001542159.42033
44,conformer,index=13.496023,496023.3525,above_onb,60,-99117915119.02689
44,conformer,index=14.562158,562158.7854,above_onb,60,-419695525671.1311
44,conformer,index=15.633482,633482.536,above_onb,60,-525875836094.85425
44,conformer,index=16.709792,709792.7143,above_onb,60,-493750088422.4175
44,conformer,index=17.789500,789500.1968,above_onb,60,-283795036437.56604
44,conformer,index=18.873637,873637.0359,above_onb,60,31015303349.428345
44,conformer,index=2.2380,2380.025286,below_onb,60,1078412397400.2373
44,conformer,index=3.21242,21242.86319,below_onb,60,925750566868.9536
44,conformer,index=4.58389,58389.85471,below_onb,60,490446907740.3343
44,conformer,index=5.113188,113188.2901,below_onb,60,66470070601.6076
44,conformer,index=6.146381,146381.6505,below_onb,60,-302895785500.44244
44,conformer,index=7.184190,184190.9699,below_onb,60,-364642148468.2873
44,conformer,index=8.225704,225704.9618,below_onb,60,-615506809824.9629
44,conformer,index=9.271677,271677.6816,near_onb,60,-460585412835.8468
44,alexnet,index=1.0,-1.42e-06,below_onb,60,941346166929.3519
44,alexnet,index=10.322114,322114.2428,above_onb,60,-1262612394479.6467
44,alexnet,index=11.376320,376320.1201,above_onb,60,-10934888453.023804
44,alexnet,index=12.434018,434018.0833,above_onb,60,48037005026.64494
44,alexnet,index=13.496023,496023.3525,above_onb,60,-61863829082.58474
44,alexnet,index=14.562158,562158.7854,above_onb,60,-155752537618.87088
44,alexnet,index=15.633482,633482.536,above_onb,60,-195278018840.51843
44,alexnet,index=16.709792,709792.7143,above_onb,60,-145686487175.39316
44,alexnet,index=17.789500,789500.1968,above_onb,60,-204969628028.185
44,alexnet,index=18.873637,873637.0359,above_onb,60,-6432803568.112906
44,alexnet,index=2.2380,2380.025286,below_onb,60,1384935915267.3193
44,alexnet,index=3.21242,21242.86319,below_onb,60,1200511817483.0378
44,alexnet,index=4.58389,58389.85471,below_onb,60,707950743392.5165
44,alexnet,index=5.113188,113188.2901,below_onb,60,449877313157.63074
44,alexnet,index=6.146381,146381.6505,below_onb,60,-146257461261.97318
44,alexnet,index=7.184190,184190.9699,below_onb,60,-265948550339.6393
44,alexnet,index=8.225704,225704.9618,below_onb,60,-985489614640.6724
