snr,fold,model,sample_id,method,repeat,noise_fraction_of_sample_std,pearson_abs_map,cosine_abs_map,relative_l1_abs_map
-4,2,cnntf_v2_gap,worst_prediction_val0033,integrated_gradients,2,0.01,0.9996197888267097,0.9996729872402271,0.04269602292119251
-4,2,cnntf_v2_gap,low_heatflux_val0180,integrated_gradients,1,0.01,0.9998912223892288,0.9998982613440369,0.03557564957071865
-4,2,cnntf_v2_gap,low_heatflux_val0180,integrated_gradients,2,0.01,0.9998992964778459,0.9999059137431896,0.034562474713994075
-4,2,cnntf_v2_gap,high_heatflux_val0300,integrated_gradients,1,0.01,0.9999694557342642,0.9999711590296096,0.017506913930142257
-4,2,cnntf_v2_gap,high_heatflux_val0300,integrated_gradients,2,0.01,0.9999695405312036,0.9999712483559472,0.017557850624086373
-4,2,alexnet,near_onb_below_val0060,integrated_gradients,1,0.01,0.9998395229220642,0.9998451321824533,0.04625734460702785
-4,2,alexnet,near_onb_below_val0060,integrated_gradients,2,0.01,0.9998320450277038,0.9998380844144596,0.04662499191563555
-4,2,alexnet,near_onb_above_val0120,integrated_gradients,1,0.01,0.999944274428096,0.9999471017905812,0.02270584748960014
-4,2,alexnet,near_onb_above_val0120,integrated_gradients,2,0.01,0.9999479179444547,0.9999505605670023,0.022367291906016572
-4,2,alexnet,worst_prediction_val0006,integrated_gradients,1,0.01,0.9996297208321749,0.9996638062160069,0.04451570501636463
-4,2,alexnet,worst_prediction_val0006,integrated_gradients,2,0.01,0.9996152411748351,0.9996507355394252,0.04518585534911537
-4,2,alexnet,low_heatflux_val0180,integrated_gradients,1,0.01,0.9998430963832421,0.9998516265856375,0.037476546819775955
-4,2,alexnet,low_heatflux_val0180,integrated_gradients,2,0.01,0.9998213275865729,0.9998306594859131,0.03908693987985224
-4,2,alexnet,high_heatflux_val0300,integrated_gradients,1,0.01,0.9999509539451906,0.9999538923250341,0.019891501257430878
-4,2,alexnet,high_heatflux_val0300,integrated_gradients,2,0.01,0.9999521420731042,0.9999550523260595,0.019689051406303122
-4,3,cnntf_v2_gap,near_onb_below_val0180,integrated_gradients,1,0.01,0.9999653926743794,0.9999655512919566,0.034257007970130614
