experiment_name,noise_level,split_strategy,feature_set,folds,r2_mean,r2_std,rmse_mean,rmse_std,mae_mean,mae_std,prediction_pearson_mean,prediction_pearson_std
2025.07.09_0.3_1,reference_SNR=-4,group_kfold,full_spectrogram_pca,3,0.09869317415359784,0.39600455608717694,252585.10506340486,64496.94294254931,209464.4749547552,49225.69500282306,0.5972978670071757,0.3649563310202248
2025.07.09_0.3_1,reference_SNR=-4,group_kfold,old_style_magnitude_minmax_pca,3,0.39542279340042036,0.3578343768069616,203924.74035320975,71295.99883096392,160044.7135560961,54081.23607286849,0.7722604303393492,0.1719365397732456
2025.07.09_0.3_1,reference_SNR=-4,group_kfold,total_power_only,3,0.3472251026270576,0.2541867628699259,216487.6397071179,49110.93285701504,169824.99048218105,31551.792123009407,0.7327347453769016,0.1930628880671505
2025.07.09_0.3_1,reference_SNR=-4,kfold,full_spectrogram_pca,3,0.3064547213888341,0.23687812154679466,229391.98977085468,27427.841854526796,185708.40407556714,25093.787234152325,0.6865885910009245,0.018994050852262308
2025.07.09_0.3_1,reference_SNR=-4,kfold,old_style_magnitude_minmax_pca,3,0.42522945177815297,0.19333573982307978,207836.59090028715,13586.84884631708,164548.57022017418,6127.528350995189,0.7269790780431554,0.104957793175589
2025.07.09_0.3_1,reference_SNR=-4,kfold,total_power_only,3,0.3925979948201716,0.23715677327940138,215194.85977753252,40445.9004446712,154768.49369608844,33616.757344902486,0.7000536445923857,0.0881849083127224
2025.07.09_0.3_1,reference_SNR=-8,group_kfold,full_spectrogram_pca,3,0.1632302419577889,0.43859650165153863,241976.64336816178,73815.67963896027,201711.87145740338,59410.206985174096,0.5690954073535542,0.4485497777120808
2025.07.09_0.3_1,reference_SNR=-8,group_kfold,old_style_magnitude_minmax_pca,3,0.32660133946679243,0.3753529052594831,216699.82766394454,69800.0997390735,172827.1294656597,54064.963893977954,0.7612991449767548,0.14125600700016577
2025.07.09_0.3_1,reference_SNR=-8,group_kfold,total_power_only,3,0.15648612448882881,0.2224671376086898,247026.09436525524,36877.407685381026,191784.00441301268,22205.703823025146,0.6762973807620881,0.14860446142615297
2025.07.09_0.3_1,reference_SNR=-8,kfold,full_spectrogram_pca,3,0.4162154766884775,0.21582305357958895,209842.7919664101,25406.609651485556,176790.01038113216,25080.60225619459,0.773327309409155,0.08814996925412635
2025.07.09_0.3_1,reference_SNR=-8,kfold,old_style_magnitude_minmax_pca,3,0.44131789789670356,0.2195727937901741,202702.6493617784,13957.197308154926,163184.82621309863,4461.253641421549,0.729554242612366,0.1619877444708906
2025.07.09_0.3_1,reference_SNR=-8,kfold,total_power_only,3,0.2555736509993191,0.24030637922903084,237527.4411355801,25895.9659329995,167488.40062360142,28611.222301629135,0.6442887706538661,0.10560351928473574
2025.07.09_0.3_1,reference_SNR=-12,group_kfold,full_spectrogram_pca,3,0.19382315094156133,0.48971998333506717,236635.61079913191,81592.47898163766,206558.74574751907,69233.85325032927,0.5621893262936232,0.547741314754971
2025.07.09_0.3_1,reference_SNR=-12,group_kfold,old_style_magnitude_minmax_pca,3,0.25974832745597787,0.36526683443378843,228064.95415556236,65605.29034500214,193252.32398140524,54135.51642989286,0.7049229728679762,0.2483515106568067
2025.07.09_0.3_1,reference_SNR=-12,group_kfold,total_power_only,3,0.15577941977386922,0.2679230227417539,246009.2351679108,39868.223115759516,188826.94640871455,25155.68746465283,0.6662885967262128,0.14377435783373652
2025.07.09_0.3_1,reference_SNR=-12,kfold,full_spectrogram_pca,3,0.32054569138749917,0.1663225778159792,229191.32805021526,30071.53800207226,197008.93506579197,29231.326588271982,0.7209950897162222,0.054325762678071765
