experiment_name,test_noise_level,split_strategy,feature_set,folds,r2_mean,r2_std,rmse_mean,rmse_std,mae_mean,mae_std,prediction_pearson_mean,prediction_pearson_std
2025.06.11_0.3_2,reference_SNR=-16,kfold,old_style_magnitude_minmax_pca,3,-0.7925357001695302,0.43991940612573727,352503.43315651617,55866.97318862143,292371.5639312197,61837.82741355507,0.14998196748455436,0.4474773505965662
2025.06.11_0.3_2,reference_SNR=-16,kfold,total_power_only,3,0.4524443752316463,0.1361119043500404,194606.33586344053,29127.147574948696,139347.60859844185,30977.091666555876,0.904262509088579,0.008472530491995825
2025.06.11_0.3_2,reference_SNR=-20,group_kfold,full_spectrogram_pca,3,0.7355902871193366,0.055544590221655435,134807.8832600297,18800.130108228113,117429.31913330295,19501.707997403737,0.927700371935675,0.02986106411353917
2025.06.11_0.3_2,reference_SNR=-20,group_kfold,old_style_magnitude_minmax_pca,3,-0.699221034939295,0.970101190741092,326387.73085903557,100483.76307815996,272144.7931939974,79526.2116043764,0.18370107147651948,0.5360778934000788
2025.06.11_0.3_2,reference_SNR=-20,group_kfold,total_power_only,3,0.41924276561010315,0.28984466210236454,196093.14653121645,46264.114779962634,154999.02786955299,40676.73824257825,0.8972480722210743,0.012002891486885572
2025.06.11_0.3_2,reference_SNR=-20,kfold,full_spectrogram_pca,3,0.7518614160553044,0.14003141563970262,128649.20167620685,42495.10825259759,105995.31167316406,35836.11387128948,0.9345419702109977,0.025031141630897202
2025.06.11_0.3_2,reference_SNR=-20,kfold,old_style_magnitude_minmax_pca,3,-0.8496451126968209,0.46433588786393404,357982.26891740225,57768.640692211244,303465.58471427526,63360.28348395086,0.20900456896068345,0.4799632832791724
2025.06.11_0.3_2,reference_SNR=-20,kfold,total_power_only,3,0.41075636671602184,0.13918729776428782,201945.50910209178,28819.00945944394,147094.53012621962,30104.919644431746,0.9016954177637903,0.008738545651388627
2025.06.11_0.3_2,reference_SNR=-4,group_kfold,full_spectrogram_pca,3,0.780895871996949,0.04124344557379461,122776.98134304794,15617.187560506074,104528.55064621962,14520.482779115395,0.948312343292688,0.015085141085574325
2025.06.11_0.3_2,reference_SNR=-4,group_kfold,old_style_magnitude_minmax_pca,3,-0.03007348035355391,0.6795479024487145,255746.45404034332,80969.12809556467,216369.8335656641,66067.55886302309,0.6617252661063049,0.1688931292307447
2025.06.11_0.3_2,reference_SNR=-4,group_kfold,total_power_only,3,0.7197572113149574,0.10345462904767856,136426.15839135143,22397.938310777583,106585.53213788629,13051.542884754394,0.9299424022030541,0.03618954592981444
