experiment_name,noise_dir,source_dir,max_freq_dir,chunks_per_source,data_path,split_strategy,feature_set,folds,r2_mean,r2_std,rmse_mean,rmse_std,mae_mean,mae_std,prediction_pearson_mean,prediction_pearson_std
2025.06.18_0.3_3,heatflux_SNR=-20,waterflow_20260722_1s_y_power,maxfreq=22kHz,5,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\data\npy\waterflow_20260722_1s_y_power\maxfreq=22kHz\heatflux_SNR=-20,kfold,old_style_magnitude_minmax_pca,3,0.8626326195540104,0.01573210146906562,99412.14334292937,9007.589529046927,78520.19869835667,7925.692136245585,0.9342387240331936,0.006432192211375877
2025.06.18_0.3_3,heatflux_SNR=-20,waterflow_20260722_1s_y_power,maxfreq=22kHz,5,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\data\npy\waterflow_20260722_1s_y_power\maxfreq=22kHz\heatflux_SNR=-20,kfold,total_power_only,3,0.95122105019517,0.01955382383050761,58535.0639586525,13600.670229167687,42508.57640871527,6982.438670155804,0.9796560921762728,0.005946496256796978
2025.07.09_0.3_1,heatflux_no_noise,waterflow_20260722_1s_y_power,maxfreq=22kHz,5,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.07.09_0.3_1\data\npy\waterflow_20260722_1s_y_power\maxfreq=22kHz\heatflux_no_noise,group_kfold,full_spectrogram_pca,3,0.364062836791786,0.14889841640916676,216645.17371148185,15230.602265033573,183525.58976132984,11311.189712517104,0.7357153237739213,0.11593437617177839
2025.07.09_0.3_1,heatflux_no_noise,waterflow_20260722_1s_y_power,maxfreq=22kHz,5,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.07.09_0.3_1\data\npy\waterflow_20260722_1s_y_power\maxfreq=22kHz\heatflux_no_noise,group_kfold,old_style_magnitude_minmax_pca,3,0.3374268493595623,0.15548030963473633,222296.63174037982,33897.50940993889,180419.1418803529,31329.638775564057,0.6989192048794696,0.043016640870884304
2025.07.09_0.3_1,heatflux_no_noise,waterflow_20260722_1s_y_power,maxfreq=22kHz,5,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.07.09_0.3_1\data\npy\waterflow_20260722_1s_y_power\maxfreq=22kHz\heatflux_no_noise,group_kfold,total_power_only,3,0.2814032170740719,0.3133890613200091,226058.76738063167,46636.64952538108,167303.45295456343,34114.65596542524,0.7148187358659799,0.11064820421546107
2025.07.09_0.3_1,heatflux_no_noise,waterflow_20260722_1s_y_power,maxfreq=22kHz,5,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.07.09_0.3_1\data\npy\waterflow_20260722_1s_y_power\maxfreq=22kHz\heatflux_no_noise,kfold,full_spectrogram_pca,3,0.5363161475268288,0.050493933044081674,192469.72340120448,41930.31684842821,156035.8027248018,34218.23231917332,0.774257061731333,0.058732143484569586
2025.07.09_0.3_1,heatflux_no_noise,waterflow_20260722_1s_y_power,maxfreq=22kHz,5,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.07.09_0.3_1\data\npy\waterflow_20260722_1s_y_power\maxfreq=22kHz\heatflux_no_noise,kfold,old_style_magnitude_minmax_pca,3,0.5802788521170649,0.09367981172659635,183471.6929816584,49580.73095869171,144575.20108500426,36417.769504876305,0.7997183548176867,0.07242621150284648
2025.07.09_0.3_1,heatflux_no_noise,waterflow_20260722_1s_y_power,maxfreq=22kHz,5,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.07.09_0.3_1\data\npy\waterflow_20260722_1s_y_power\maxfreq=22kHz\heatflux_no_noise,kfold,total_power_only,3,0.40896759202324057,0.11694591093358607,216182.0820806742,44618.66510368528,153539.77484155717,27491.86252228591,0.7276727126552222,0.11562010963094073
2025.07.09_0.3_1,heatflux_SNR=0,waterflow_20260722_1s_y_power,maxfreq=22kHz,5,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.07.09_0.3_1\data\npy\waterflow_20260722_1s_y_power\maxfreq=22kHz\heatflux_SNR=0,group_kfold,full_spectrogram_pca,3,0.41944567327536975,0.4710752106823167,192793.84398851614,50975.152182931044,168908.4896285835,38134.89364153355,0.8657848708263277,0.05650263318478145
2025.07.09_0.3_1,heatflux_SNR=0,waterflow_20260722_1s_y_power,maxfreq=22kHz,5,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.07.09_0.3_1\data\npy\waterflow_20260722_1s_y_power\maxfreq=22kHz\heatflux_SNR=0,group_kfold,old_style_magnitude_minmax_pca,3,0.4030453349771232,0.20050157742682959,211765.2930159407,50269.782448379505,173559.6717388792,45258.313252943735,0.7435578773229995,0.11397811011973866
2025.07.09_0.3_1,heatflux_SNR=0,waterflow_20260722_1s_y_power,maxfreq=22kHz,5,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.07.09_0.3_1\data\npy\waterflow_20260722_1s_y_power\maxfreq=22kHz\heatflux_SNR=0,group_kfold,total_power_only,3,0.3221949240058056,0.611788664342591,204752.41477029736,64520.67809072615,160569.8633874733,57577.235117537624,0.8214070373902241,0.055272837294097314
2025.07.09_0.3_1,heatflux_SNR=0,waterflow_20260722_1s_y_power,maxfreq=22kHz,5,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.07.09_0.3_1\data\npy\waterflow_20260722_1s_y_power\maxfreq=22kHz\heatflux_SNR=0,kfold,full_spectrogram_pca,3,0.6206745721137891,0.08745112012299025,170207.67933592692,5259.699877332581,140695.4955790644,5552.352773170959,0.8639267894933175,0.04415806206553385
2025.07.09_0.3_1,heatflux_SNR=0,waterflow_20260722_1s_y_power,maxfreq=22kHz,5,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.07.09_0.3_1\data\npy\waterflow_20260722_1s_y_power\maxfreq=22kHz\heatflux_SNR=0,kfold,old_style_magnitude_minmax_pca,3,0.5178687495184912,0.045025238032415635,194554.50747973993,25868.163442539815,155045.04258309942,22911.55299224853,0.7757252516743538,0.03162177667542103
2025.07.09_0.3_1,heatflux_SNR=0,waterflow_20260722_1s_y_power,maxfreq=22kHz,5,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.07.09_0.3_1\data\npy\waterflow_20260722_1s_y_power\maxfreq=22kHz\heatflux_SNR=0,kfold,total_power_only,3,0.5670428114369926,0.16882511695296717,179404.8286408341,15213.112304689737,126387.1801305043,10748.671326610549,0.8685894957678361,0.029567962362950163
