experiment_name,variant,noise_dir,data_path,split_strategy,feature_set,folds,r2_mean,r2_std,rmse_mean,rmse_std,mae_mean,mae_std,prediction_pearson_mean,prediction_pearson_std
2025.07.09_0.3_1,relative_noise_only,heatflux_SNR=-20,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.07.09_0.3_1\data\npy\waterflow_20260724_1s_p0_relative_noise_only\maxfreq=22kHz\heatflux_SNR=-20,kfold,old_style_magnitude_minmax_pca,3,-0.41437353799638205,0.4061112072485492,327467.86865970766,17113.638649516175,285584.2302291704,20701.80937708074,-0.02636955335183509,0.14005214548065847
2025.07.09_0.3_1,relative_noise_only,heatflux_SNR=-20,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.07.09_0.3_1\data\npy\waterflow_20260724_1s_p0_relative_noise_only\maxfreq=22kHz\heatflux_SNR=-20,kfold,total_power_only,3,0.6413386298825627,0.14365397437853805,162686.9868897226,18987.22161817724,107578.65020061795,13974.229517969517,0.8225856165402274,0.0803993704341688
2025.07.09_0.3_1,fixed_mixture,heatflux_no_noise,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.07.09_0.3_1\data\npy\waterflow_20260724_1s_p0_fixed_mixture\maxfreq=22kHz\heatflux_no_noise,group_kfold,full_spectrogram_pca,3,0.19569305710645243,0.5764590441515697,230844.23713679126,100940.99527672873,189855.594322819,87406.59499476457,0.5320268814816186,0.5559426219842737
2025.07.09_0.3_1,fixed_mixture,heatflux_no_noise,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.07.09_0.3_1\data\npy\waterflow_20260724_1s_p0_fixed_mixture\maxfreq=22kHz\heatflux_no_noise,group_kfold,old_style_magnitude_minmax_pca,3,0.16024020316612794,0.38060599953824736,242834.2864767349,63401.667774514055,195939.23061673762,51069.58678679865,0.6665381909644967,0.19867156550349427
2025.07.09_0.3_1,fixed_mixture,heatflux_no_noise,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.07.09_0.3_1\data\npy\waterflow_20260724_1s_p0_fixed_mixture\maxfreq=22kHz\heatflux_no_noise,group_kfold,total_power_only,3,0.24371488038466596,0.19766609501627636,234955.618528504,41196.18969452426,182278.0703429645,33100.85697372117,0.6897002135550507,0.1806397465168293
2025.07.09_0.3_1,fixed_mixture,heatflux_no_noise,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.07.09_0.3_1\data\npy\waterflow_20260724_1s_p0_fixed_mixture\maxfreq=22kHz\heatflux_no_noise,kfold,full_spectrogram_pca,3,0.4691537035472422,0.1931434775639253,199774.15321745817,20642.481500366965,157588.4012121431,29362.689780962537,0.7762556692051717,0.0707882065390892
2025.07.09_0.3_1,fixed_mixture,heatflux_no_noise,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.07.09_0.3_1\data\npy\waterflow_20260724_1s_p0_fixed_mixture\maxfreq=22kHz\heatflux_no_noise,kfold,old_style_magnitude_minmax_pca,3,0.5036587300976629,0.07254384893130451,196132.045906115,11496.399700404108,148040.73567797453,14694.973509024547,0.7625591384140528,0.04870639679414942
2025.07.09_0.3_1,fixed_mixture,heatflux_no_noise,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.07.09_0.3_1\data\npy\waterflow_20260724_1s_p0_fixed_mixture\maxfreq=22kHz\heatflux_no_noise,kfold,total_power_only,3,0.3333914922148267,0.286685203429463,220619.7816711665,27296.006827336045,154657.08722745618,15949.46227010358,0.7259067355681172,0.08617398638486641
2025.07.09_0.3_1,fixed_mixture,heatflux_SNR=-20,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.07.09_0.3_1\data\npy\waterflow_20260724_1s_p0_fixed_mixture\maxfreq=22kHz\heatflux_SNR=-20,group_kfold,full_spectrogram_pca,3,0.2548268576987105,0.25642396807446954,230962.62079369285,44412.960810471464,199570.00360916357,38136.19259497376,0.6945326793146868,0.14661020916968254
2025.07.09_0.3_1,fixed_mixture,heatflux_SNR=-20,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.07.09_0.3_1\data\npy\waterflow_20260724_1s_p0_fixed_mixture\maxfreq=22kHz\heatflux_SNR=-20,group_kfold,old_style_magnitude_minmax_pca,3,0.18225960157334067,0.2275829629828165,243037.02197988448,38212.841660831706,206609.2432821393,35245.80000823047,0.6537916542279407,0.16314241352321096
