experiment_name,noise_level,split_strategy,feature_set,fold,train_samples,validation_samples,r2,rmse,mae,prediction_pearson
2025.06.18_0.3_3,reference_SNR=-20,group_kfold,full_spectrogram_pca,2,60,30,0.8953761416598285,90878.92329459808,76983.06624624999,0.9665101937176251
2025.06.18_0.3_3,reference_SNR=-20,group_kfold,old_style_magnitude_minmax_pca,2,60,30,0.8018268698705963,125074.90784193024,100741.85773124998,0.9460677385754539
2025.06.18_0.3_3,reference_SNR=-20,group_kfold,total_power_only,3,60,30,0.7893867431232808,120875.5062193768,95809.51453069501,0.904353778828093
2025.06.18_0.3_3,reference_SNR=-20,group_kfold,full_spectrogram_pca,3,60,30,0.8292067396068503,108850.59779232461,94117.25184757002,0.9290557581870922
2025.06.18_0.3_3,reference_SNR=-20,group_kfold,old_style_magnitude_minmax_pca,3,60,30,0.7343774232700633,135746.28299212095,120543.36884090335,0.8802138144447712
2025.07.09_0.3_1,no_noise,kfold,total_power_only,1,43,22,0.5300698653898333,228328.39999245826,165306.89039942686,0.7541090821094406
2025.07.09_0.3_1,no_noise,kfold,full_spectrogram_pca,1,43,22,0.4659832548002103,243400.0837906126,218703.06835974354,0.7476461580392162
2025.07.09_0.3_1,no_noise,kfold,old_style_magnitude_minmax_pca,1,43,22,0.5943537822912281,212137.28247263536,174566.1619631228,0.8430428442542188
2025.07.09_0.3_1,no_noise,kfold,total_power_only,2,43,22,0.3843387548584347,195774.7926069717,126541.6686715893,0.7174018165240108
2025.07.09_0.3_1,no_noise,kfold,full_spectrogram_pca,2,43,22,-0.1741476751792499,270362.98061451974,236995.99557162262,0.521849162447733
2025.07.09_0.3_1,no_noise,kfold,old_style_magnitude_minmax_pca,2,43,22,0.571810200222908,163269.10915769907,134367.55736646036,0.7887793129173203
2025.07.09_0.3_1,no_noise,kfold,total_power_only,3,44,21,0.41479639346632846,199926.23620099167,146386.36859948994,0.733045216472009
2025.07.09_0.3_1,no_noise,kfold,full_spectrogram_pca,3,44,21,0.4685672221031686,190519.9512957359,148116.4540828279,0.6890931461403157
2025.07.09_0.3_1,no_noise,kfold,old_style_magnitude_minmax_pca,3,44,21,0.3593194490958236,209188.14233641757,149279.20628907246,0.6080874483100628
2025.07.09_0.3_1,no_noise,group_kfold,total_power_only,1,40,25,0.050832294838581205,274943.7550814533,210243.39470909123,0.5406964480751276
2025.07.09_0.3_1,no_noise,group_kfold,full_spectrogram_pca,1,40,25,-0.31204807397178436,323256.4931966815,271707.20992548973,-0.010774655914841036
2025.07.09_0.3_1,no_noise,group_kfold,old_style_magnitude_minmax_pca,1,40,25,-0.09557882609582702,295388.91819961055,229646.38725714196,0.4241203707669747
2025.07.09_0.3_1,no_noise,group_kfold,total_power_only,2,45,20,0.45491667032760785,190293.12434358106,145729.88876243395,0.8862520264156419
2025.07.09_0.3_1,no_noise,group_kfold,full_spectrogram_pca,2,45,20,0.08660301123857506,246332.34111170692,194428.93466087143,0.8050619375026745
2025.07.09_0.3_1,no_noise,group_kfold,old_style_magnitude_minmax_pca,2,45,20,0.16648785789438603,235313.91638753598,198614.28448134335,0.789775337001643
2025.07.09_0.3_1,no_noise,group_kfold,total_power_only,3,45,20,0.26290849779472103,233536.359945636,181840.35023212916,0.6599663343178248
2025.07.09_0.3_1,no_noise,group_kfold,full_spectrogram_pca,3,45,20,0.7077118564875647,147061.63971174243,116356.6752022913,0.8538550588940633
2025.07.09_0.3_1,no_noise,group_kfold,old_style_magnitude_minmax_pca,3,45,20,0.5989391969754854,172265.73999987438,139496.32508711106,0.7915293273483569
2025.07.09_0.3_1,reference_SNR=0,kfold,total_power_only,1,43,22,0.45160570491648866,246654.90129544595,184207.335663132,0.6924610022916962
2025.07.09_0.3_1,reference_SNR=0,kfold,full_spectrogram_pca,1,43,22,0.5341891754521553,227325.4575671384,188902.33270945537,0.7909982133707848
