experiment_name,source_wav_id,chunk_index,chunk_start_seconds,chunk_duration_seconds,heat_flux,sample_filename,onb_threshold,q_over_onb,spectrum_method,spectrum_unit,peak_850_1200_psd,peak_850_1200_hz,peak_1250_1650_psd,peak_1250_1650_hz,peak_2100_2500_psd,peak_2100_2500_hz
2025.06.11_0.3_2,index=1.3.28E-04,51,51.0,1,0.000328047,0.000328047_src-index=1.3.28E-04_chunk-0051.npy,368978.105,8.890690140001667e-10,welch_hann_2048_overlap_1024_fs_44100,digital_amplitude_squared_per_hz,3.526002453724608e-11,1055.126953125,1.983277002765242e-11,1356.591796875,1.8660982918243186e-11,2304.052734375
2025.06.11_0.3_2,index=1.3.28E-04,52,52.0,1,0.000328047,0.000328047_src-index=1.3.28E-04_chunk-0052.npy,368978.105,8.890690140001667e-10,welch_hann_2048_overlap_1024_fs_44100,digital_amplitude_squared_per_hz,4.7649076337971944e-11,1055.126953125,2.629178285028406e-11,1356.591796875,1.902396939049481e-11,2304.052734375
2025.06.11_0.3_2,index=1.3.28E-04,53,53.0,1,0.000328047,0.000328047_src-index=1.3.28E-04_chunk-0053.npy,368978.105,8.890690140001667e-10,welch_hann_2048_overlap_1024_fs_44100,digital_amplitude_squared_per_hz,5.443171396178018e-11,1055.126953125,3.0879136386417656e-11,1356.591796875,2.128109789076958e-11,2304.052734375
2025.06.11_0.3_2,index=1.3.28E-04,54,54.0,1,0.000328047,0.000328047_src-index=1.3.28E-04_chunk-0054.npy,368978.105,8.890690140001667e-10,welch_hann_2048_overlap_1024_fs_44100,digital_amplitude_squared_per_hz,6.124828886958339e-11,1055.126953125,3.388605458434687e-11,1356.591796875,2.2184929950886394e-11,2304.052734375
2025.06.11_0.3_2,index=1.3.28E-04,55,55.0,1,0.000328047,0.000328047_src-index=1.3.28E-04_chunk-0055.npy,368978.105,8.890690140001667e-10,welch_hann_2048_overlap_1024_fs_44100,digital_amplitude_squared_per_hz,4.367859824829567e-11,1055.126953125,2.5223316788379437e-11,1356.591796875,2.0796487743579578e-11,2304.052734375
2025.06.11_0.3_2,index=1.3.28E-04,56,56.0,1,0.000328047,0.000328047_src-index=1.3.28E-04_chunk-0056.npy,368978.105,8.890690140001667e-10,welch_hann_2048_overlap_1024_fs_44100,digital_amplitude_squared_per_hz,2.953655960241605e-11,1055.126953125,1.5503626987327058e-11,1356.591796875,1.8301396061273568e-11,2304.052734375
2025.06.11_0.3_2,index=1.3.28E-04,57,57.0,1,0.000328047,0.000328047_src-index=1.3.28E-04_chunk-0057.npy,368978.105,8.890690140001667e-10,welch_hann_2048_overlap_1024_fs_44100,digital_amplitude_squared_per_hz,4.27803401901365e-11,1055.126953125,2.2201853133869284e-11,1356.591796875,1.9882877103906942e-11,2304.052734375
2025.06.11_0.3_2,index=1.3.28E-04,58,58.0,1,0.000328047,0.000328047_src-index=1.3.28E-04_chunk-0058.npy,368978.105,8.890690140001667e-10,welch_hann_2048_overlap_1024_fs_44100,digital_amplitude_squared_per_hz,5.442660824514398e-11,1055.126953125,3.1006171537728504e-11,1356.591796875,2.148773098224569e-11,2304.052734375
2025.06.11_0.3_2,index=1.3.28E-04,59,59.0,1,0.000328047,0.000328047_src-index=1.3.28E-04_chunk-0059.npy,368978.105,8.890690140001667e-10,welch_hann_2048_overlap_1024_fs_44100,digital_amplitude_squared_per_hz,4.627584258061051e-11,1055.126953125,2.738342759361282e-11,1356.591796875,2.4018124137428996e-11,2304.052734375
2025.06.11_0.3_2,index=10.3.15E+05,0,0.0,1,315466.1173,315466.1173_src-index=10.3.15E+05_chunk-0000.npy,368978.105,0.854972457783098,welch_hann_2048_overlap_1024_fs_44100,digital_amplitude_squared_per_hz,1.3385692378235632e-10,1098.193359375,1.663724351510254e-10,1335.05859375,1.7671769375918007e-09,2282.51953125
2025.06.11_0.3_2,index=10.3.15E+05,1,1.0,1,315466.1173,315466.1173_src-index=10.3.15E+05_chunk-0001.npy,368978.105,0.854972457783098,welch_hann_2048_overlap_1024_fs_44100,digital_amplitude_squared_per_hz,6.819001193256939e-10,1098.193359375,3.981939571926393e-10,1335.05859375,2.563125486313507e-09,2260.986328125
2025.06.11_0.3_2,index=10.3.15E+05,2,2.0,1,315466.1173,315466.1173_src-index=10.3.15E+05_chunk-0002.npy,368978.105,0.854972457783098,welch_hann_2048_overlap_1024_fs_44100,digital_amplitude_squared_per_hz,6.462509957627969e-10,1098.193359375,5.098274012470617e-10,1335.05859375,3.067331587997391e-09,2282.51953125
2025.06.11_0.3_2,index=10.3.15E+05,3,3.0,1,315466.1173,315466.1173_src-index=10.3.15E+05_chunk-0003.npy,368978.105,0.854972457783098,welch_hann_2048_overlap_1024_fs_44100,digital_amplitude_squared_per_hz,4.938646428914183e-10,1098.193359375,3.6519382507414287e-10,1335.05859375,1.3012415824566176e-09,2282.51953125
2025.06.11_0.3_2,index=10.3.15E+05,4,4.0,1,315466.1173,315466.1173_src-index=10.3.15E+05_chunk-0004.npy,368978.105,0.854972457783098,welch_hann_2048_overlap_1024_fs_44100,digital_amplitude_squared_per_hz,6.772552879898078e-10,1098.193359375,4.674964328668841e-10,1335.05859375,1.1120085519755545e-09,2260.986328125
2025.06.11_0.3_2,index=10.3.15E+05,5,5.0,1,315466.1173,315466.1173_src-index=10.3.15E+05_chunk-0005.npy,368978.105,0.854972457783098,welch_hann_2048_overlap_1024_fs_44100,digital_amplitude_squared_per_hz,4.6969330274409334e-09,1098.193359375,3.3856144922335827e-09,1335.05859375,1.5917282996550862e-08,2282.51953125
2025.06.11_0.3_2,index=10.3.15E+05,6,6.0,1,315466.1173,315466.1173_src-index=10.3.15E+05_chunk-0006.npy,368978.105,0.854972457783098,welch_hann_2048_overlap_1024_fs_44100,digital_amplitude_squared_per_hz,3.902324827097265e-09,1098.193359375,2.7624109714845106e-09,1335.05859375,1.1761996118958968e-08,2239.453125
2025.06.11_0.3_2,index=10.3.15E+05,7,7.0,1,315466.1173,315466.1173_src-index=10.3.15E+05_chunk-0007.npy,368978.105,0.854972457783098,welch_hann_2048_overlap_1024_fs_44100,digital_amplitude_squared_per_hz,1.1164708785024075e-09,1098.193359375,8.690599490467065e-10,1335.05859375,3.708872491015034e-09,2260.986328125
2025.06.11_0.3_2,index=10.3.15E+05,8,8.0,1,315466.1173,315466.1173_src-index=10.3.15E+05_chunk-0008.npy,368978.105,0.854972457783098,welch_hann_2048_overlap_1024_fs_44100,digital_amplitude_squared_per_hz,1.3021501449352196e-09,1098.193359375,1.0805861150113622e-09,1335.05859375,3.795916759802912e-09,2282.51953125
2025.06.11_0.3_2,index=10.3.15E+05,9,9.0,1,315466.1173,315466.1173_src-index=10.3.15E+05_chunk-0009.npy,368978.105,0.854972457783098,welch_hann_2048_overlap_1024_fs_44100,digital_amplitude_squared_per_hz,2.0222515652377077e-09,1098.193359375,1.6282456375488327e-09,1335.05859375,5.86778649577321e-09,2260.986328125
2025.06.11_0.3_2,index=10.3.15E+05,10,10.0,1,315466.1173,315466.1173_src-index=10.3.15E+05_chunk-0010.npy,368978.105,0.854972457783098,welch_hann_2048_overlap_1024_fs_44100,digital_amplitude_squared_per_hz,4.921796591603561e-09,1098.193359375,3.7182219551329103e-09,1335.05859375,1.6710892544487418e-08,2260.986328125
2025.06.11_0.3_2,index=10.3.15E+05,11,11.0,1,315466.1173,315466.1173_src-index=10.3.15E+05_chunk-0011.npy,368978.105,0.854972457783098,welch_hann_2048_overlap_1024_fs_44100,digital_amplitude_squared_per_hz,6.4673691949423244e-09,1098.193359375,6.005861508374539e-09,1335.05859375,2.5268396810285077e-08,2282.51953125
2025.06.11_0.3_2,index=10.3.15E+05,12,12.0,1,315466.1173,315466.1173_src-index=10.3.15E+05_chunk-0012.npy,368978.105,0.854972457783098,welch_hann_2048_overlap_1024_fs_44100,digital_amplitude_squared_per_hz,3.4610518631347256e-11,904.39453125,2.4019819652531404e-11,1356.591796875,3.430384203649502e-10,2282.51953125
2025.06.11_0.3_2,index=10.3.15E+05,13,13.0,1,315466.1173,315466.1173_src-index=10.3.15E+05_chunk-0013.npy,368978.105,0.854972457783098,welch_hann_2048_overlap_1024_fs_44100,digital_amplitude_squared_per_hz,4.029947278430144e-11,1098.193359375,3.3569908836514046e-11,1335.05859375,6.367854381618057e-10,2282.51953125
2025.06.11_0.3_2,index=10.3.15E+05,14,14.0,1,315466.1173,315466.1173_src-index=10.3.15E+05_chunk-0014.npy,368978.105,0.854972457783098,welch_hann_2048_overlap_1024_fs_44100,digital_amplitude_squared_per_hz,1.8582392040911716e-09,1098.193359375,1.5145898014496048e-09,1335.05859375,5.223538882089379e-09,2260.986328125
