snr,evaluation_unit,model_key,aggregation,n_wavs,claim_safe,claim_note,r2,rmse_all,mae_all,r2_high,rmse_high,mae_high,rmse_onb,mae_onb,n_onb,roc_auc_cont,pr_auc_cont,accuracy,precision,recall,f1,auc_binary,false_negatives,false_positives,onb_prediction,onb_signed_error,maxfreq_khz
-4,source_wav_pooled_oof,rf,median,18,1,within_experiment_source_wav_oof,0.9203806251653512,75635.35208436604,59593.82787365016,0.8807881079097944,55441.29779910934,43688.73573437499,20747.57374999998,20747.57374999998,1,1,1,0.9444444444444444,1,0.875,0.9333333333333332,0.9375,1,0,348230.53125,-20747.57374999998,3
-4,source_wav_pooled_oof,cnntf_v2_gap,median,18,1,within_experiment_source_wav_oof,0.9387706358248472,66327.75929688955,46959.222756046,0.9560423502608564,33665.94654419582,23550.680996875,3231.1293750000186,3231.1293750000186,1,1,1,1.0,1,1.0,1.0,1.0,0,0,372209.234375,3231.1293750000186,3
-4,source_wav_pooled_oof,alexnet,median,18,1,within_experiment_source_wav_oof,0.9219575529405404,74882.5957534927,54904.243427443565,0.8857218476419148,54281.92022902348,40154.954459375,24257.44874999998,24257.44874999998,1,1,1,0.9444444444444444,1,0.875,0.9333333333333332,0.9375,1,0,344720.65625,-24257.44874999998,3
-4,source_wav_pooled_oof,ensemble__simple_equal,median,18,1,no_outer_validation_labels_used_for_weights,0.9373542183679732,67090.55235608983,47334.33094684174,0.9347586330130696,41014.28297545414,25616.590923958367,10581.344583333354,10581.344583333354,1,1,1,0.9444444444444444,1,0.875,0.9333333333333332,0.9375,1,0,358396.7604166666,-10581.344583333354,3
-4,source_wav_pooled_oof,ensemble__inner_holdout,median,18,1,no_outer_validation_labels_used_for_weights,0.938974154708199,66217.43488323182,45640.53508314335,0.9418013870495252,38737.35062097686,22416.805642880383,10065.278331875394,10065.278331875394,1,1,1,0.9444444444444444,1,0.875,0.9333333333333332,0.9375,1,0,358912.8266681246,-10065.278331875394,3
-8,source_wav_pooled_oof,rf,median,18,1,within_experiment_source_wav_oof,0.9242032156520914,73797.36273417264,58742.80698163628,0.8817052923797157,55227.61072103804,43462.38221874999,13875.97999999998,13875.97999999998,1,1,1,0.9444444444444444,1,0.875,0.9333333333333332,0.9375,1,0,355102.125,-13875.97999999998,3
-8,source_wav_pooled_oof,cnntf_v2_gap,median,18,1,within_experiment_source_wav_oof,0.9364666295140992,67564.16269795633,43892.14578111545,0.9654008345112354,29868.01834577772,18689.803156250007,13077.01124999998,13077.01124999998,1,1,1,0.9444444444444444,1,0.875,0.9333333333333332,0.9375,1,0,355901.09375,-13077.01124999998,3
-8,source_wav_pooled_oof,alexnet,median,18,1,within_experiment_source_wav_oof,0.932301042112794,69743.93437540258,48727.8852465408,0.9323570741128758,41762.33663251681,27571.00235000001,1004.0668750000186,1004.0668750000186,1,1,1,1.0,1,1.0,1.0,1.0,0,0,369982.171875,1004.0668750000186,3
-8,source_wav_pooled_oof,ensemble__simple_equal,median,18,1,no_outer_validation_labels_used_for_weights,0.9377095513923416,66900.0096774967,45161.346695042324,0.9453176320906984,37548.90301534788,21752.838970833367,6565.9487499999805,6565.9487499999805,1,1,1,0.9444444444444444,1,0.875,0.9333333333333332,0.9375,1,0,362412.15625,-6565.948749999981,3
-8,source_wav_pooled_oof,ensemble__inner_holdout,median,18,1,no_outer_validation_labels_used_for_weights,0.938021832959798,66732.10359975773,44329.925498998935,0.9475617671132852,36770.337949870715,20488.401771401015,7609.88140786055,7609.88140786055,1,1,1,0.9444444444444444,1,0.875,0.9333333333333332,0.9375,1,0,361368.2235921394,-7609.88140786055,3
