frequency,model,source_wav_id,y_true,sse_reduction_0_to_minus20
maxfreq=3kHz,cnntf_v2_gap,index=6.1.44E+05,144324.2618,-1170877049.7645583
maxfreq=3kHz,cnntf_v2_gap,index=7.1.81E+05,181378.003,-572673622.0035553
maxfreq=3kHz,cnntf_v2_gap,index=8.2.22E+05,221505.1102,-16590878736.775526
maxfreq=3kHz,cnntf_v2_gap,index=9.2.67E+05,266907.6965,-803903882.6924303
maxfreq=3kHz,alexnet,index=1.3.28E-04,0.0003280469999999,27851098901.010498
maxfreq=3kHz,alexnet,index=10.3.15E+05,315466.1173,-3893992086.472205
maxfreq=3kHz,alexnet,index=11.3.69E+05,368978.105,-234568060.9598141
maxfreq=3kHz,alexnet,index=12.4.27E+05,427276.195,-9350741.522109397
maxfreq=3kHz,alexnet,index=13.4.89E+05,489453.9981,-6572397418.476724
maxfreq=3kHz,alexnet,index=14.5.54E+05,554196.3218,-99441647.28350139
maxfreq=3kHz,alexnet,index=15.6.24E+05,624442.5514,173747574.18941247
maxfreq=3kHz,alexnet,index=16.6.98E+05,698421.296,-4910144201.548879
maxfreq=3kHz,alexnet,index=17.7.77E+05,776647.2223,128333711.72109532
maxfreq=3kHz,alexnet,index=18.8.59E+05,859343.9142,-2991610166.8668137
maxfreq=3kHz,alexnet,index=2.2.36E+03,2355.33535,-6343147657.800905
maxfreq=3kHz,alexnet,index=3.2.10E+04,20979.71604,334692599.7961807
maxfreq=3kHz,alexnet,index=4.5.76E+04,57593.31665,1661031955.3355007
maxfreq=3kHz,alexnet,index=5.1.11E+05,111264.7017,192206705.3299651
maxfreq=3kHz,alexnet,index=6.1.44E+05,144324.2618,-4971161010.338493
maxfreq=3kHz,alexnet,index=7.1.81E+05,181378.003,-3669521741.772215
maxfreq=3kHz,alexnet,index=8.2.22E+05,221505.1102,-24587637841.91306
maxfreq=3kHz,alexnet,index=9.2.67E+05,266907.6965,6132525177.01458
maxfreq=3kHz,ensemble__simple_equal,index=1.3.28E-04,0.0003280469999999,20120536529.03936
maxfreq=3kHz,ensemble__simple_equal,index=10.3.15E+05,315466.1173,-632005969.8419933
maxfreq=3kHz,ensemble__simple_equal,index=11.3.69E+05,368978.105,101764492.78955434
maxfreq=3kHz,ensemble__simple_equal,index=12.4.27E+05,427276.195,38670117.900048174
maxfreq=3kHz,ensemble__simple_equal,index=13.4.89E+05,489453.9981,132238428.03649475
maxfreq=3kHz,ensemble__simple_equal,index=14.5.54E+05,554196.3218,96366122.97982669
maxfreq=3kHz,ensemble__simple_equal,index=15.6.24E+05,624442.5514,240476099.54699206
maxfreq=3kHz,ensemble__simple_equal,index=16.6.98E+05,698421.296,-646921474.0755974
maxfreq=3kHz,ensemble__simple_equal,index=17.7.77E+05,776647.2223,-182565836.90532994
maxfreq=3kHz,ensemble__simple_equal,index=18.8.59E+05,859343.9142,203008971.65556717
maxfreq=3kHz,ensemble__simple_equal,index=2.2.36E+03,2355.33535,-8005882955.345747
maxfreq=3kHz,ensemble__simple_equal,index=3.2.10E+04,20979.71604,-3333870738.350386
maxfreq=3kHz,ensemble__simple_equal,index=4.5.76E+04,57593.31665,611634474.058361
maxfreq=3kHz,ensemble__simple_equal,index=5.1.11E+05,111264.7017,-19043446.457506604
maxfreq=3kHz,ensemble__simple_equal,index=6.1.44E+05,144324.2618,-1357522597.1663446
maxfreq=3kHz,ensemble__simple_equal,index=7.1.81E+05,181378.003,-284814393.3023281
maxfreq=3kHz,ensemble__simple_equal,index=8.2.22E+05,221505.1102,-17568146359.847553
maxfreq=3kHz,ensemble__simple_equal,index=9.2.67E+05,266907.6965,284930219.30875254
