seed,snr,model_key,model,region,chunks,r2,rmse,mae,mean_residual,misses,false_alarms
42,-12,ensemble__simple_equal,Equal ensemble,all,1080,0.8678197009717268,99002.82035629367,76908.20004750766,3416.946195945625,99,1
42,-12,ensemble__inner_holdout,Inner-holdout ensemble,below,480,-2.673559302640034,155095.77106783362,121598.0921715026,107682.54851996993,0,24
42,-12,ensemble__inner_holdout,Inner-holdout ensemble,near,60,-5.776137486313637e+29,44238.348788255134,36546.7427147381,-19387.094455093735,44,0
42,-12,ensemble__inner_holdout,Inner-holdout ensemble,above,540,0.9076497743495319,54213.696779722406,43045.450896344264,-39777.69034897842,41,0
42,-12,ensemble__inner_holdout,Inner-holdout ensemble,all,1080,0.8345411174480132,110766.70714093735,77596.6965641032,26893.004475769987,85,24
42,-16,randomforest,RandomForest,below,480,-0.022480802808492628,81824.6224542439,73695.4055683598,10612.886394505626,0,2
42,-16,randomforest,RandomForest,near,60,-7.363701089193053e+30,157953.12515146882,152559.52340500007,-145266.14930833335,54,0
42,-16,randomforest,RandomForest,above,540,0.6850929343604895,100110.87205773196,78797.36710502315,-77135.1644144676,45,0
42,-16,randomforest,RandomForest,all,1080,0.8736013182737131,96813.40035828036,80627.7262165048,-41921.08543791648,99,2
42,-16,conformer,Conformer,below,480,-1.1305820929529817,118115.13889140304,105621.61860286952,27160.848206652132,0,0
42,-16,conformer,Conformer,near,60,-3.9136913763746526e+30,115152.51697074383,103130.87060145831,-101140.15751145832,57,0
42,-16,conformer,Conformer,above,540,0.8278757883099096,74013.51400229361,59931.265200092595,-59501.20936527778,65,0
42,-16,conformer,Conformer,all,1080,0.8695102453160839,98367.67556866836,82638.06701251378,-23298.01423031896,122,0
42,-16,alexnet,AlexNet,below,480,-0.21761193523838895,89291.65589444067,82279.51873746136,18459.65892868531,0,0
42,-16,alexnet,AlexNet,near,60,-5.330162531963888e+30,134384.8693684496,128412.7854425,-127855.14357916666,59,0
42,-16,alexnet,AlexNet,above,540,0.49915421845646424,126253.10044228075,118325.00710379629,-118241.22892546294,71,0
42,-16,alexnet,AlexNet,all,1080,0.8312033024892906,111878.3813780101,102865.22218201988,-58019.385137713936,130,0
42,-16,ensemble__simple_equal,Equal ensemble,below,480,-0.33465291966869226,93484.71300969897,86813.48484563474,18744.46450994768,0,1
42,-16,ensemble__simple_equal,Equal ensemble,near,60,-5.285242597839548e+30,133817.4071576939,126384.37240131947,-124753.8167996528,58,0
42,-16,ensemble__simple_equal,Equal ensemble,above,540,0.7069512000146982,96573.95458573726,85025.66582037816,-84959.20090173619,56,0
42,-16,ensemble__simple_equal,Equal ensemble,all,1080,0.8713162748930603,97684.58007775349,88117.95797498894,-41079.4949353165,114,1
42,-16,ensemble__inner_holdout,Inner-holdout ensemble,below,480,-0.48918114091210674,98748.42841095598,91304.52306446746,21184.391288587143,0,0
42,-16,ensemble__inner_holdout,Inner-holdout ensemble,near,60,-4.791026509918662e+30,127407.33581815277,119711.32039190395,-118347.15802693574,58,0
42,-16,ensemble__inner_holdout,Inner-holdout ensemble,above,540,0.7227142842970127,93940.69972524661,83787.71313925316,-83760.76103810077,59,0
42,-16,ensemble__inner_holdout,Inner-holdout ensemble,all,1080,0.8698887805397657,98224.89549587769,89124.27350894011,-39039.93761450808,117,0
42,-20,randomforest,RandomForest,below,480,-0.027734542735791567,82034.56991086216,73740.35210156292,11770.850798802501,0,2
42,-20,randomforest,RandomForest,near,60,-7.40502891460886e+30,158395.7507769,153293.1286133334,-146170.85972500002,54,0
42,-20,randomforest,RandomForest,above,540,0.6878625896424995,99669.65463932321,78949.63657210648,-77269.13122581018,44,0
42,-20,randomforest,RandomForest,all,1080,0.8738845775336723,96704.86017062333,80764.59303193305,-41523.679687048425,98,2
42,-20,conformer,Conformer,below,480,-0.5946266854800284,102184.71605675606,85576.22654979207,55070.58240687541,0,1
42,-20,conformer,Conformer,near,60,-3.536690974541474e+30,109465.86280103122,101978.53811583333,-98318.4581625,56,0
42,-20,conformer,Conformer,above,540,0.8330601736195794,72890.3474973191,52711.103347986114,-46872.211289467596,59,0
42,-20,conformer,Conformer,all,1080,0.8926141926531803,89235.49664545323,70054.90448033584,-4422.427806261394,115,1
42,-20,alexnet,AlexNet,below,480,-0.06257591235234283,83413.51298220753,74540.03719195354,17753.434343724377,0,0
42,-20,alexnet,AlexNet,near,60,-6.211664972133637e+30,145072.18739238277,138968.28251416667,-136544.66649583334,58,0
42,-20,alexnet,AlexNet,above,540,0.7070104566281135,96564.19011167595,77985.7630063889,-77466.36318472223,57,0
42,-20,alexnet,AlexNet,all,1080,0.8796554591509629,94466.40732921027,79842.2470615164,-38428.58113380768,115,0
42,-20,ensemble__simple_equal,Equal ensemble,below,480,-0.149483150695509,86757.6407622345,76635.24243106811,28198.28918313409,0,1
42,-20,ensemble__simple_equal,Equal ensemble,near,60,-5.48771450323852e+30,136356.51784008407,130491.35029166668,-127011.32812777782,55,0
42,-20,ensemble__simple_equal,Equal ensemble,above,540,0.7577213648003225,87810.73275105031,67946.16679450624,-67202.56856666674,53,0
42,-20,ensemble__simple_equal,Equal ensemble,all,1080,0.8889646789700485,90739.16491148071,75282.71060504265,-28124.89620903921,108,1
42,-20,ensemble__inner_holdout,Inner-holdout ensemble,below,480,-0.12487193221810977,85823.84527905111,76008.5265811917,25852.018697382875,0,1
42,-20,ensemble__inner_holdout,Inner-holdout ensemble,near,60,-5.690643626092695e+30,138854.7823070303,132942.06048700717,-129501.3785797511,55,0
42,-20,ensemble__inner_holdout,Inner-holdout ensemble,above,540,0.7490340383747239,89371.17197422225,69630.98933543086,-68999.7890002754,52,0
42,-20,ensemble__inner_holdout,Inner-holdout ensemble,all,1080,0.887551205132024,91314.89088064895,75982.73206418993,-30204.629444620372,107,1
43,clean,randomforest,RandomForest,below,480,-0.010245976548346247,81333.59960752999,73330.07326041708,9631.223878229584,0,2
43,clean,randomforest,RandomForest,near,60,-6.765585495679952e+30,151402.4282804835,145810.62919791669,-138519.78446458332,55,0
43,clean,randomforest,RandomForest,above,540,0.6893753033109787,99427.8464495626,78744.92375381944,-77153.20567604167,46,0
43,clean,randomforest,RandomForest,all,1080,0.8765187271405364,95689.60251672278,80064.19605920158,-41991.60247350676,101,2
43,clean,conformer,Conformer,below,480,-1.1957742723995373,119908.58410279459,100644.3516615108,87336.06863734414,0,0
43,clean,conformer,Conformer,near,60,-1.7937658072087544e+30,77958.41810514168,70066.25946458333,-70066.25946458333,60,0
43,clean,conformer,Conformer,above,540,0.8867056520658523,60047.39397942936,49486.594190046286,2591.014737731484,65,0
43,clean,conformer,Conformer,all,1080,0.8849575405083729,92361.98983686088,73366.69002594925,36218.96790409741,125,0
43,clean,alexnet,AlexNet,below,480,-0.4526714535811296,97530.42795126104,84333.82500558633,58653.65783819052,0,0
43,clean,alexnet,AlexNet,near,60,-3.5606978393028356e+30,109836.75860305966,100941.14240729166,-100941.14240729166,60,0
43,clean,alexnet,AlexNet,above,540,0.8020655286501949,79368.97280529128,67875.88083939815,26141.28030486111,62,0
43,clean,alexnet,AlexNet,all,1080,0.8914731848186821,89708.32153546273,77027.48166703143,33531.09128011014,122,0
43,clean,ensemble__simple_equal,Equal ensemble,below,480,-0.3466247290459583,93903.05495571258,79586.23884514366,51873.65011792142,0,0
43,clean,ensemble__simple_equal,Equal ensemble,near,60,-3.5186284738471775e+30,109185.97430981098,103175.72877881948,-103175.72877881948,60,0
43,clean,ensemble__simple_equal,Equal ensemble,above,540,0.8862777016787823,60160.6965619208,46030.11612355709,-16140.303544483106,57,0
43,clean,ensemble__simple_equal,Equal ensemble,all,1080,0.9138135439850881,79943.60217728735,64118.70470288792,9252.818903566884,117,0
43,clean,ensemble__inner_holdout,Inner-holdout ensemble,below,480,-0.5822624499799862,101787.79102164786,86302.05506769115,64762.716583667556,0,0
43,clean,ensemble__inner_holdout,Inner-holdout ensemble,near,60,-2.8706671749532263e+30,98621.49213608172,92403.38825892018,-92403.38825892018,60,0
43,clean,ensemble__inner_holdout,Inner-holdout ensemble,above,540,0.8771736372114053,62522.42836935401,51471.229595571735,2588.348513747731,60,0
43,clean,ensemble__inner_holdout,Inner-holdout ensemble,all,1080,0.9042566531217328,84259.42755116141,69225.60528669972,24944.082279675,120,0
43,0,randomforest,RandomForest,below,480,-0.011422572755735105,81380.94894602387,73442.36577343792,9607.988917292085,0,2
43,0,randomforest,RandomForest,near,60,-6.427530288976951e+30,147571.4054176951,140746.99580083333,-132950.02587083334,54,0
43,0,randomforest,RandomForest,above,540,0.6902702524343132,99284.51101907696,78799.14983888889,-77264.66081203704,46,0
43,0,randomforest,RandomForest,all,1080,0.8775227202874195,95299.79528439928,79859.90391879648,-41748.22565782389,100,2
43,0,conformer,Conformer,below,480,-1.1609417130382877,118953.70000160584,107858.86762125527,-17508.12718859817,0,0
43,0,conformer,Conformer,near,60,-6.751165509973344e+30,151240.99469805538,141069.77268208333,-140228.80790208332,59,0
43,0,conformer,Conformer,above,540,0.7960606234849221,80563.91926321905,54843.37496060185,-23608.98005393518,67,0
43,0,conformer,Conformer,all,1080,0.8542886924668074,103946.7294694974,83196.17157208569,-27376.369216460305,126,0
43,0,alexnet,AlexNet,below,480,-2.6336431721575613,154250.85043870672,137675.49022205346,52570.82234023901,0,7
43,0,alexnet,AlexNet,near,60,-4.648456026697935e+30,125497.33715861809,101186.86028109374,-99480.39009609375,58,0
43,0,alexnet,AlexNet,above,540,0.8439940165252886,70462.92540112167,52352.339590150455,-11430.255466261571,55,0
43,0,alexnet,AlexNet,all,1080,0.8121140064962153,118035.1631288025,92986.76879827087,12122.993857192452,113,7
43,0,ensemble__simple_equal,Equal ensemble,below,480,-0.9220982651642564,112187.43588593061,105271.75113522631,14890.228022977639,0,1
43,0,ensemble__simple_equal,Equal ensemble,near,60,-5.393863192233697e+30,135185.499766864,124759.1854330035,-124219.74128967017,58,0
43,0,ensemble__simple_equal,Equal ensemble,above,540,0.8297851656813714,73601.85247009377,50492.981996855735,-37434.63211074467,58,0
43,0,ensemble__simple_equal,Equal ensemble,all,1080,0.8743450072544764,96528.17081492618,78965.00180480642,-19000.533672363952,116,1
43,0,ensemble__inner_holdout,Inner-holdout ensemble,below,480,-1.628469324174552,131192.16079463242,121129.59640887617,29015.856377982353,0,1
43,0,ensemble__inner_holdout,Inner-holdout ensemble,near,60,-4.970382411378653e+30,129770.22251488971,114548.25072044398,-114220.14303597767,59,0
43,0,ensemble__inner_holdout,Inner-holdout ensemble,above,540,0.8449854133374693,70238.67741205098,49212.727865032786,-22698.3691545353,58,0
43,0,ensemble__inner_holdout,Inner-holdout ensemble,all,1080,0.8509592262056288,105127.6000668365,84805.53182093047,-4798.81191127425,117,1
43,-4,randomforest,RandomForest,below,480,-0.021175672122542455,81772.38385703939,73702.72072135458,9736.35245895875,0,2
43,-4,randomforest,RandomForest,near,60,-6.487026354414017e+30,148252.82529376124,140952.20947270835,-133147.028084375,54,0
43,-4,randomforest,RandomForest,above,540,0.6867505794043149,99847.03667538229,79048.13956689816,-77494.0516974537,46,0
43,-4,randomforest,RandomForest,all,1080,0.8762336119488933,95800.01127829401,80111.5128525349,-41816.81520498824,100,2
43,-4,conformer,Conformer,below,480,-1.2744035354557082,122036.62531967832,110854.67247939167,13102.000153864357,0,0
43,-4,conformer,Conformer,near,60,-3.746570418216998e+30,112667.09516869813,102871.84214822917,-102867.09924322917,59,0
43,-4,conformer,Conformer,above,540,0.841897349468376,70934.84389530112,51906.01956192131,-41603.42312395833,63,0
43,-4,conformer,Conformer,all,1080,0.8672989345847618,99197.65521286096,80936.85544670303,-20693.43922932997,122,0
43,-4,alexnet,AlexNet,below,480,-1.5617253661606796,129515.78824124121,101979.286302891,86851.99944789102,0,0
43,-4,alexnet,AlexNet,near,60,-1.7522229047210775e+30,77050.38692264655,73653.87756625,-72455.31154791666,58,0
43,-4,alexnet,AlexNet,above,540,0.8301159263996991,73530.30629793985,61208.807082037034,-9964.480140740745,77,0
43,-4,alexnet,AlexNet,all,1080,0.8585567295646164,102413.0609219757,80020.41287376176,29593.35348714139,135,0
43,-4,ensemble__simple_equal,Equal ensemble,below,480,-0.6184305871687361,102944.57560480273,93298.99055795722,36563.4506869047,0,0
43,-4,ensemble__simple_equal,Equal ensemble,near,60,-3.5631989346514667e+30,109875.32744472192,103746.95276156254,-102823.14629184033,58,0
43,-4,ensemble__simple_equal,Equal ensemble,above,540,0.8342112532386856,72638.61689819583,54947.39874787812,-43020.651654051006,58,0
43,-4,ensemble__simple_equal,Equal ensemble,all,1080,0.8918597000829637,89548.43218946883,74703.63699756243,-10972.300315725648,116,0
43,-4,ensemble__inner_holdout,Inner-holdout ensemble,below,480,-0.8067990186292977,108770.55679828636,100415.00244282345,24766.690711197367,0,0
43,-4,ensemble__inner_holdout,Inner-holdout ensemble,near,60,-3.673594728911235e+30,111564.43465993177,104205.46917216151,-103987.21190606247,58,0
43,-4,ensemble__inner_holdout,Inner-holdout ensemble,above,540,0.838668404590422,71655.5371964366,53340.77610762464,-43669.564596647404,62,0
43,-4,ensemble__inner_holdout,Inner-holdout ensemble,all,1080,0.8851431400977103,92287.45532569337,77088.47076018727,-16604.431532572788,120,0
43,-8,randomforest,RandomForest,below,480,-0.015707457209679587,81553.15165729921,73580.45052278688,9563.284441380625,0,2
43,-8,randomforest,RandomForest,near,60,-6.608728598969221e+30,149637.0390349753,142361.63824875,-135061.97561041667,54,0
43,-8,randomforest,RandomForest,above,540,0.6864843903576285,99889.45102931325,78895.50192569445,-77432.90106087962,46,0
43,-8,randomforest,RandomForest,all,1080,0.8760821691294989,95858.60468404621,80059.1533201275,-41969.544979293794,100,2
43,-8,conformer,Conformer,below,480,-1.4208822567085138,125905.08263167545,114938.63116229083,14929.904679637084,0,1
43,-8,conformer,Conformer,near,60,-2.9056090544022746e+30,99219.88915372037,88874.952765625,-86031.43303229166,55,0
43,-8,conformer,Conformer,above,540,0.8875858669953095,59813.67678668928,40650.12664212963,-29682.005198611114,52,0
43,-8,conformer,Conformer,all,1080,0.873489411697405,96856.24755856587,76346.39676906214,-12985.013465705282,107,1
43,-8,alexnet,AlexNet,below,480,-3.5004917287786803,171666.83992167062,151972.57148047604,69283.69040629559,0,44
43,-8,alexnet,AlexNet,near,60,-1.8724556882224415e+30,79650.02599367144,59387.278291875,-56271.30568854166,51,0
43,-8,alexnet,AlexNet,above,540,0.7178729867827378,94757.23454715798,88252.57557775464,-88081.1915846065,60,0
43,-8,alexnet,AlexNet,all,1080,0.7580746720021747,133938.3273420931,114968.94612974864,-16374.02814997974,111,44
43,-8,ensemble__simple_equal,Equal ensemble,below,480,-1.2303642438767657,120849.35191478775,112112.3513177714,31258.95984243776,0,1
43,-8,ensemble__simple_equal,Equal ensemble,near,60,-3.170543069813166e+30,103644.6706940698,95559.45072569448,-92454.90477708337,55,0
43,-8,ensemble__simple_equal,Equal ensemble,above,540,0.8037827869352296,79023.9244183298,65271.75490284729,-65065.36594803248,51,0
43,-8,ensemble__simple_equal,Equal ensemble,all,1080,0.8623102783599716,101045.03129885018,87772.44752186062,-23776.19553165965,106,1
43,-8,ensemble__inner_holdout,Inner-holdout ensemble,below,480,-1.3272529554687655,123446.34161336358,114170.11791513387,25800.81918177286,0,1
43,-8,ensemble__inner_holdout,Inner-holdout ensemble,near,60,-2.96749499488093e+30,100270.95355039522,91199.21163791096,-88825.32066510347,56,0
43,-8,ensemble__inner_holdout,Inner-holdout ensemble,above,540,0.8498334628257985,69131.60263648424,52766.23513348538,-51516.8607629303,52,0
43,-8,ensemble__inner_holdout,Inner-holdout ensemble,all,1080,0.8689054354465432,98595.3752959512,82192.0150644639,-19226.139670960736,108,1
