seed,snr,model_key,model,r2_mean,rmse_all_mean,mae_all_mean,r2_high_mean,rmse_high_mean,mae_high_mean,rmse_onb_mean,mae_onb_mean,roc_auc_cont_mean,pr_auc_cont_mean,accuracy_mean,precision_mean,recall_mean,f1_mean
44,-8,alexnet,AlexNet,0.774159,129409.432287,103038.123592,0.700145,105413.468305,75860.12558,188114.647615,169902.962057,0.926191,0.955585,0.883333,0.997899,0.791667,0.8829
44,-8,ensemble__simple_equal,Equal ensemble,0.854425,103898.242323,85128.381871,0.784042,89459.173535,63987.964467,152640.746038,142329.843752,0.937545,0.962241,0.893519,1.0,0.808333,0.894009
44,-8,ensemble__inner_holdout,Inner-holdout ensemble,0.855862,103384.089068,84946.819701,0.782466,89785.003646,64537.993473,152585.541883,142375.96437,0.937615,0.962298,0.894444,1.0,0.81,0.895028
44,-12,randomforest,RandomForest,0.873242,96950.836114,80977.17365,0.69093,107020.953124,86056.424742,154198.630809,148459.843587,0.929731,0.956829,0.906481,0.996024,0.835,0.908432
44,-12,conformer,Conformer,0.845372,107080.087934,73834.159872,0.951641,42333.223412,30782.99128,53887.33938,45039.513392,0.95192,0.96869,0.883333,0.927798,0.856667,0.890815
44,-12,alexnet,AlexNet,0.824323,114135.779502,99449.805788,0.524476,132747.675171,117430.928073,147721.881591,143997.00048,0.937472,0.964326,0.874074,1.0,0.773333,0.87218
44,-12,ensemble__simple_equal,Equal ensemble,0.879767,94422.431386,81419.501194,0.787679,88702.704953,74002.1329,112189.015796,106228.27785,0.95441,0.970959,0.893519,1.0,0.808333,0.894009
44,-12,ensemble__inner_holdout,Inner-holdout ensemble,0.881523,93730.50951,80369.453607,0.798788,86351.032676,71466.344841,110374.348658,104362.774544,0.954444,0.970949,0.899074,1.0,0.818333,0.900092
44,-16,randomforest,RandomForest,0.872182,97355.49819,81326.199835,0.684064,108203.316728,87455.050444,157940.609494,152404.610384,0.918833,0.954697,0.906481,0.996024,0.835,0.908432
44,-16,conformer,Conformer,0.86982,98250.764903,73045.070906,0.80633,84717.271187,50197.903679,156580.889287,146738.507353,0.950316,0.969281,0.893519,1.0,0.808333,0.894009
44,-16,alexnet,AlexNet,0.815947,116824.836819,105551.302341,0.489393,137557.398486,129728.113985,152050.892644,149265.63772,0.930132,0.959947,0.867593,1.0,0.761667,0.864711
44,-16,ensemble__simple_equal,Equal ensemble,0.876639,95643.106158,83162.869794,0.725426,100871.910264,83382.756272,153338.259797,147126.255442,0.951372,0.969629,0.886111,1.0,0.795,0.885794
44,-16,ensemble__inner_holdout,Inner-holdout ensemble,0.878263,95011.510939,82051.327852,0.729885,100049.474819,81653.821738,153741.895441,147111.926858,0.951222,0.96957,0.889815,1.0,0.801667,0.889917
44,-20,randomforest,RandomForest,0.872252,97328.853887,81254.75727,0.685042,108035.590721,87272.938045,158230.234538,152942.159733,0.921158,0.95501,0.907407,0.996032,0.836667,0.90942
44,-20,conformer,Conformer,0.421815,207060.610122,151463.153983,0.903767,59717.711704,41586.13403,134023.845533,131051.909546,0.908483,0.94008,0.556481,0.55607,1.0,0.714711
44,-20,alexnet,AlexNet,0.807722,119406.791469,102970.001554,0.532397,131637.386426,115748.55461,188896.597489,180631.146568,0.93158,0.959425,0.864815,0.995633,0.76,0.862004
44,-20,ensemble__simple_equal,Equal ensemble,0.867489,99126.543994,78510.738275,0.866776,70263.842812,59120.866821,75385.845689,71848.170429,0.942274,0.964727,0.906481,0.996024,0.835,0.908432
44,-20,ensemble__inner_holdout,Inner-holdout ensemble,0.872467,97246.891852,77912.232201,0.855629,73144.32998,61270.7577,82233.031957,79029.083739,0.942566,0.964927,0.906481,0.996024,0.835,0.908432
