seed,snr,ensemble_key,ensemble,best_single_key,best_single,delta_r2_vs_rf,delta_rmse_vs_rf,relative_rmse_vs_rf,delta_rmse_vs_best_single,relative_rmse_vs_best_single,within_2pct_of_best_single,beats_rf,beats_best_single,delta_onb_rmse_vs_rf,delta_rmse_vs_evaluation_oracle,delta_below_rmse_vs_rf,delta_below_false_alarms_vs_rf,delta_below_misses_vs_rf,delta_near_rmse_vs_rf,delta_near_false_alarms_vs_rf,delta_near_misses_vs_rf,delta_above_rmse_vs_rf,delta_above_false_alarms_vs_rf,delta_above_misses_vs_rf
44,-4,ensemble__simple_equal,Equal ensemble,randomforest,RandomForest,-0.03020299999999998,11071.598742999995,0.11580004941726973,11071.598742999995,0.11580004941726973,False,False,False,12792.132432999992,11903.00930526972,34826.74991689873,-2,0,12792.132432647835,0,5,-11207.666778798477,0,23
44,-4,ensemble__inner_holdout,Inner-holdout ensemble,randomforest,RandomForest,-0.027119000000000004,9994.271880999993,0.104532073874259,9994.271880999993,0.104532073874259,False,False,False,12606.264129999996,10825.682443269718,33465.89336975757,-2,0,12606.264130468102,0,5,-12179.546745941989,0,20
44,-8,ensemble__simple_equal,Equal ensemble,randomforest,RandomForest,-0.021675,8046.448204999993,0.08394676676676771,8046.448204999993,0.08394676676676771,False,False,False,3158.2032300000137,11596.759738299603,37775.043398023074,-2,0,3158.20322985822,0,3,-20369.88164226024,0,12
44,-8,ensemble__inner_holdout,Inner-holdout ensemble,randomforest,RandomForest,-0.020237999999999978,7532.294949999996,0.07858272262204324,7532.294949999996,0.07858272262204324,False,False,False,3102.9990749999997,11082.606483299605,36459.22929930138,-2,0,3102.9990751860896,0,3,-19950.52392495009,0,11
44,-12,ensemble__simple_equal,Equal ensemble,randomforest,RandomForest,0.006525000000000003,-2528.4047280000086,-0.02607924623803115,-2528.4047280000086,-0.02607924623803115,True,True,True,-42009.61501299999,4041.887712380747,18462.587431437656,-2,0,-42009.6150130622,0,3,-14723.318915502183,0,13
44,-12,ensemble__inner_holdout,Inner-holdout ensemble,randomforest,RandomForest,0.008280999999999983,-3220.3266040000017,-0.03321607871657106,-3220.3266040000017,-0.03321607871657106,True,True,True,-43824.28215099999,3349.965836380754,19552.78106833223,-2,0,-43824.28215112984,0,3,-17165.05053894673,0,7
44,-16,ensemble__simple_equal,Equal ensemble,randomforest,RandomForest,0.004456999999999933,-1712.3920320000034,-0.017589063420517692,-1712.3920320000034,-0.017589063420517692,True,True,True,-4602.349696999998,4261.939319190147,6877.4980171993375,-2,0,-4602.349697137484,0,4,-7941.465289112079,0,20
44,-16,ensemble__inner_holdout,Inner-holdout ensemble,randomforest,RandomForest,0.006081000000000003,-2343.9872509999987,-0.02407657805238128,-2343.9872509999987,-0.02407657805238128,True,True,True,-4198.714053000003,3630.344100190152,6513.732735663551,-2,0,-4198.714053810865,0,4,-9006.010556929614,0,16
44,-20,ensemble__simple_equal,Equal ensemble,randomforest,RandomForest,-0.004763000000000073,1797.6901070000022,0.01847026894087489,1797.6901070000022,0.01847026894087489,True,False,False,-82844.388849,6744.154535961512,44240.819647843,0,0,-82844.38884893918,0,1,-31257.571493689626,0,0
44,-20,ensemble__inner_holdout,Inner-holdout ensemble,randomforest,RandomForest,0.00021499999999996522,-81.96203500000411,-0.0008421144576012951,-81.96203500000411,-0.0008421144576012951,True,True,True,-75997.20258099999,4864.502393961506,38788.700819172824,0,0,-75997.20258148974,0,1,-28865.311311501777,0,0
