snr,model,sample_id,val_local_index,source_wav_id,chunk_index,region,ensemble_case,y_true_w_m2,base_prediction_w_m2,base_residual_w_m2,band,low_hz,high_hz,masked_prediction_w_m2,prediction_change_masked_minus_base_w_m2,abs_error_change_masked_minus_base_w_m2,mask_improves_error
no_noise,conformer,low_heatflux_val0000,0,index=1.0,0,below_onb,failure_vs_best_single,-1.42e-06,163529.1875,163529.18750142,freq_0_256Hz,0.0,256.0,163510.3125,-18.875,-18.875,True
no_noise,conformer,low_heatflux_val0000,0,index=1.0,0,below_onb,failure_vs_best_single,-1.42e-06,163529.1875,163529.18750142,freq_256_512Hz,256.0,512.0,121055.9375,-42473.25,-42473.25,True
no_noise,conformer,low_heatflux_val0000,0,index=1.0,0,below_onb,failure_vs_best_single,-1.42e-06,163529.1875,163529.18750142,freq_512_1000Hz,512.0,1000.0,238683.375,75154.1875,75154.1875,False
no_noise,conformer,low_heatflux_val0000,0,index=1.0,0,below_onb,failure_vs_best_single,-1.42e-06,163529.1875,163529.18750142,freq_1000_2000Hz,1000.0,2000.0,293032.0625,129502.875,129502.87499999997,False
no_noise,conformer,low_heatflux_val0000,0,index=1.0,0,below_onb,failure_vs_best_single,-1.42e-06,163529.1875,163529.18750142,freq_2000_5000Hz,2000.0,5000.0,441647.1875,278118.0,278118.0,False
no_noise,conformer,low_heatflux_val0000,0,index=1.0,0,below_onb,failure_vs_best_single,-1.42e-06,163529.1875,163529.18750142,freq_5000_10000Hz,5000.0,10000.0,527381.3125,363852.125,363852.125,False
no_noise,conformer,low_heatflux_val0000,0,index=1.0,0,below_onb,failure_vs_best_single,-1.42e-06,163529.1875,163529.18750142,freq_10000_15000Hz,10000.0,15000.0,332622.6875,169093.5,169093.49999999997,False
no_noise,conformer,low_heatflux_val0000,0,index=1.0,0,below_onb,failure_vs_best_single,-1.42e-06,163529.1875,163529.18750142,freq_15000_22000Hz,15000.0,22000.0,54374.99609375,-109154.19140625,-109154.19140625,True
no_noise,alexnet,near_onb_below_val0300,300,index=8.225704,0,below_onb,failure_vs_best_single,225704.9618,103144.140625,-122560.82117499999,freq_0_256Hz,0.0,256.0,103141.5625,-2.578125,2.578125,False
no_noise,alexnet,near_onb_below_val0300,300,index=8.225704,0,below_onb,failure_vs_best_single,225704.9618,103144.140625,-122560.82117499999,freq_256_512Hz,256.0,512.0,109259.1875,6115.046875,-6115.046875,True
