snr,model,source_wav_id,y_true,prediction,error,fraction_total_squared_error
-4,cnntf_v2_gap,index=16.6.98E+05,698421.296,736817.34375,38396.04775000003,0.016260914426542396
-4,cnntf_v2_gap,index=17.7.77E+05,776647.2223,766938.125,-9709.097300000023,0.001039751666083593
-4,cnntf_v2_gap,index=18.8.59E+05,859343.9142,812252.40625,-47091.50795,0.0244600371979447
-4,alexnet,index=1.3.28E-04,0.0003280469999999,210063.9453125,210063.944984453,0.36184957595038486
-4,alexnet,index=2.2.36E+03,2355.33535,9291.520263671877,6936.184913671877,0.00039451757842365857
-4,alexnet,index=3.2.10E+04,20979.71604,-28201.923828125,-49181.639868125,0.01983494699590465
-4,alexnet,index=4.5.76E+04,57593.31665,81319.53125,23726.2146,0.004616171570131921
-4,alexnet,index=5.1.11E+05,111264.7017,63284.78125,-47979.920450000005,0.018877482689199192
-4,alexnet,index=6.1.44E+05,144324.2618,51301.306640625,-93022.95515937501,0.07095864237535163
-4,alexnet,index=7.1.81E+05,181378.003,38492.150390625,-142885.852609375,0.16741851860788676
-4,alexnet,index=8.2.22E+05,221505.1102,177956.6796875,-43548.430512499996,0.015551419935457202
-4,alexnet,index=9.2.67E+05,266907.6965,130946.02734375,-135961.66915625002,0.151585621538111
-4,alexnet,index=10.3.15E+05,315466.1173,256623.3515625,-58842.76573749998,0.028392993836711358
-4,alexnet,index=11.3.69E+05,368978.105,347255.15625,-21722.94874999998,0.003869568942517117
-4,alexnet,index=12.4.27E+05,427276.195,394346.34375,-32929.85125000001,0.00889210477657895
-4,alexnet,index=13.4.89E+05,489453.9981,482356.875,-7097.123100000026,0.0004130377153757493
-4,alexnet,index=14.5.54E+05,554196.3218,520017.9375,-34178.384300000034,0.009579174635432057
-4,alexnet,index=15.6.24E+05,624442.5514,581385.78125,-43056.77015,0.015202252122370141
-4,alexnet,index=16.6.98E+05,698421.296,687945.09375,-10476.202249999973,0.0008999798415526364
-4,alexnet,index=17.7.77E+05,776647.2223,727321.90625,-49325.31605000002,0.019951005431032263
-4,alexnet,index=18.8.59E+05,859343.9142,747972.0,-111371.9142,0.10171298545757883
-4,ensemble__simple_equal,index=1.3.28E-04,0.0003280469999999,201403.54166666663,201403.54133861963,0.44969852590759873
-4,ensemble__simple_equal,index=2.2.36E+03,2355.33535,71856.73323567708,69501.39788567708,0.05355183267937251
-4,ensemble__simple_equal,index=3.2.10E+04,20979.71604,32497.66227213541,11517.946232135411,0.0014707449044701563
-4,ensemble__simple_equal,index=4.5.76E+04,57593.31665,83708.19401041666,26114.877360416656,0.007560721482513341
-4,ensemble__simple_equal,index=5.1.11E+05,111264.7017,98067.59765625,-13197.104043750005,0.0019308322317715062
-4,ensemble__simple_equal,index=6.1.44E+05,144324.2618,73205.23828125,-71119.02351875001,0.056073650294556535
-4,ensemble__simple_equal,index=7.1.81E+05,181378.003,59687.654296875,-121690.348703125,0.16417216668719398
-4,ensemble__simple_equal,index=8.2.22E+05,221505.1102,141935.7578125,-79569.3523875,0.07019059202105389
-4,ensemble__simple_equal,index=9.2.67E+05,266907.6965,200756.27864583328,-66151.41785416674,0.04851383120941498
-4,ensemble__simple_equal,index=10.3.15E+05,315466.1173,272332.70833333326,-43133.40896666673,0.020625991052552025
-4,ensemble__simple_equal,index=11.3.69E+05,368978.105,359061.1822916666,-9916.922708333354,0.0010902877072152275
-4,ensemble__simple_equal,index=12.4.27E+05,427276.195,403782.93229166657,-23493.262708333437,0.006118908077620968
-4,ensemble__simple_equal,index=13.4.89E+05,489453.9981,519526.47916666657,30072.481066666543,0.010025955646086018
-4,ensemble__simple_equal,index=14.5.54E+05,554196.3218,547545.0729166665,-6651.248883333523,0.0004904487779972399
-4,ensemble__simple_equal,index=15.6.24E+05,624442.5514,607241.8958333333,-17200.65556666674,0.003280025783597319
-4,ensemble__simple_equal,index=16.6.98E+05,698421.296,701435.9583333333,3014.6623333332827,0.0001007545361858887
-4,ensemble__simple_equal,index=17.7.77E+05,776647.2223,742762.7395833331,-33884.482716666884,0.012728844436075465
-4,ensemble__simple_equal,index=18.8.59E+05,859343.9142,768061.8020833331,-91282.11211666686,0.09237588656472427
-4,ensemble__inner_holdout,index=1.3.28E-04,0.0003280469999999,210645.5237417681,210645.5234137211,0.4869216902136624
