frequency,experiment_name,role,source_wav_id,heat_flux,chunks,selected_chunks,log_mean,log_std,log_p95,raw_mean,selected_log_mean,selected_log_std,selected_log_p95,selected_raw_mean
maxfreq=22kHz,2025.06.18_0.3_3,test,index=17.789500,789500.1968,60,60,11.613314810205381,3.141009063896214,16.26284694671631,3.210361746541855e-06,11.613314810205381,3.141009063896214,16.26284694671631,3.210361746541855e-06
maxfreq=22kHz,2025.06.18_0.3_3,test,index=18.873637,873637.0359,60,60,11.916935027568199,3.145098408913573,16.477845907211304,3.9061130986536465e-06,11.916935027568199,3.145098408913573,16.477845907211304,3.9061130986536465e-06
maxfreq=22kHz,2025.06.18_0.3_3,test,index=2.2380,2380.025286,60,60,2.5448047797564097,1.4574934872781158,5.7327152490615845,6.918334873503207e-11,2.5448047797564097,1.4574934872781158,5.7327152490615845,6.918334873503207e-11
maxfreq=22kHz,2025.06.18_0.3_3,test,index=3.21242,21242.86319,60,60,2.667979888072056,1.409163011423527,5.690425992012024,6.895553087912141e-11,2.667979888072056,1.409163011423527,5.690425992012024,6.895553087912141e-11
maxfreq=22kHz,2025.06.18_0.3_3,test,index=4.58389,58389.85471,60,60,2.714663997689321,1.3927768431468777,5.717216849327087,6.979382744004175e-11,2.714663997689321,1.3927768431468777,5.717216849327087,6.979382744004175e-11
maxfreq=22kHz,2025.06.18_0.3_3,test,index=5.113188,113188.2901,60,60,3.564648544654157,1.5731323507273958,6.8835068345069885,2.2022354894224851e-10,3.564648544654157,1.5731323507273958,6.8835068345069885,2.2022354894224851e-10
maxfreq=22kHz,2025.06.18_0.3_3,test,index=6.146381,146381.6505,60,60,3.566982402833953,1.5406368841375224,6.848818778991699,1.9931778056615276e-10,3.566982402833953,1.5406368841375224,6.848818778991699,1.9931778056615276e-10
maxfreq=22kHz,2025.06.18_0.3_3,test,index=7.184190,184190.9699,60,60,3.4497803843457064,1.4364539038152857,6.479796588420868,1.3168173140811355e-10,3.4497803843457064,1.4364539038152857,6.479796588420868,1.3168173140811355e-10
maxfreq=22kHz,2025.06.18_0.3_3,test,index=8.225704,225704.9618,60,60,2.8297919595064998,1.3209018337549616,5.644052684307098,5.7096536031551375e-11,2.8297919595064998,1.3209018337549616,5.644052684307098,5.7096536031551375e-11
maxfreq=22kHz,2025.06.18_0.3_3,test,index=9.271677,271677.6816,60,60,2.8830028168093342,1.3642819346586408,5.786575376987457,7.009246812122233e-11,2.8830028168093342,1.3642819346586408,5.786575376987457,7.009246812122233e-11
