snr,model,axis,group,low,high,mean_r2_drop,min_r2_drop,max_r2_drop,mean_rmse_increase
-20,cnntf_v2_gap,frequency,freq_15000_22000Hz,15000.0,22000.0,1.228073480516753,0.5959981370690579,2.454973309749848,218006.13407822978
-20,cnntf_v2_gap,frequency,freq_2000_5000Hz,2000.0,5000.0,1.762858277150342,0.6267919150578182,2.976405739797975,269031.2055721088
-20,cnntf_v2_gap,frequency,freq_256_512Hz,256.0,512.0,0.22043214698182664,0.0398128001419308,0.5097956049665494,63706.665224674645
-20,cnntf_v2_gap,frequency,freq_5000_10000Hz,5000.0,10000.0,1.7142073611844086,0.7867286717395102,3.382607510305053,261877.7442491379
-20,cnntf_v2_gap,frequency,freq_512_1000Hz,512.0,1000.0,1.3632580082256618,0.6304601939659984,2.320725291681428,233538.56923377523
-20,cnntf_v2_gap,time,time_1,0.0,0.25,0.23570860726684764,0.1824054978558649,0.2994300491459861,75420.18540728923
-20,cnntf_v2_gap,time,time_2,0.25,0.5,0.4557196112198377,0.3807121705300823,0.5639813217022667,120353.7285588887
-20,cnntf_v2_gap,time,time_3,0.5,0.75,0.5620917353023612,0.4326746793822958,0.7148187944050384,138028.13666931866
-20,cnntf_v2_gap,time,time_4,0.75,1.0,0.350437820685862,0.2291747677816316,0.5233662558668197,98869.71235877543
-20,rf,frequency,freq_0_256Hz,0.0,256.0,0.0,0.0,0.0,0.0
-20,rf,frequency,freq_10000_15000Hz,10000.0,15000.0,-0.0002845035044989333,-0.0017760906704817,0.0011847244952881,-128.2346766924165
-20,rf,frequency,freq_1000_2000Hz,1000.0,2000.0,0.0012999363277942666,0.0009783088531916,0.0018099851231963,708.5526111627236
-20,rf,frequency,freq_15000_22000Hz,15000.0,22000.0,0.0002074620025459479,4.233571464984376e-05,0.0003578900442877,109.47219513533248
-20,rf,frequency,freq_2000_5000Hz,2000.0,5000.0,0.447667161364949,0.3117551573676096,0.5866838175490686,117805.30662814766
-20,rf,frequency,freq_256_512Hz,256.0,512.0,-1.1906487335992347e-05,-3.571946200797704e-05,0.0,-4.743686785688624
-20,rf,frequency,freq_5000_10000Hz,5000.0,10000.0,0.0007597547006405334,-0.0007779910670355,0.0019274318721981,406.1228403908511
-20,rf,frequency,freq_512_1000Hz,512.0,1000.0,0.0003002923888424,-0.0004408280467435,0.0012109510179212,127.42594810196897
-20,rf,time,time_1,0.0,0.25,0.0133781352324669,0.0079488964248285,0.0204802742830906,6867.561925067508
-20,rf,time,time_2,0.25,0.5,0.010509930862968968,0.0038385348700741,0.0215125966867854,5774.684102110055
-20,rf,time,time_3,0.5,0.75,0.012233007633336665,0.0079128279690492,0.0200912450458071,6409.139148084389
-20,rf,time,time_4,0.75,1.0,0.012527349357967668,0.0077493502581447,0.0220241512869799,6626.251365509456
-4,alexnet,frequency,freq_0_256Hz,0.0,256.0,-0.000874902402262638,-0.0027572016365267,0.000139325848246,-371.83756969372917
-4,alexnet,frequency,freq_10000_15000Hz,10000.0,15000.0,3.2400242711968574,0.7750528440618343,4.539882913449217,378238.0147362559
-4,alexnet,frequency,freq_1000_2000Hz,1000.0,2000.0,23.63752083640914,10.705741595497416,33.174741815360456,1167157.3099025467
-4,alexnet,frequency,freq_15000_22000Hz,15000.0,22000.0,1.5800765972589044,0.611557959417515,2.9469354222777446,243447.6647543544
-4,alexnet,frequency,freq_2000_5000Hz,2000.0,5000.0,9.912589735777997,4.1010246684737535,16.124134613187135,727175.8707999061
-4,alexnet,frequency,freq_256_512Hz,256.0,512.0,0.13316910986275662,-0.034809483211648,0.2760007900420533,40799.9271462213
-4,alexnet,frequency,freq_5000_10000Hz,5000.0,10000.0,7.382779858095328,1.5552587948152887,15.073234086316535,587900.3255543854
-4,alexnet,frequency,freq_512_1000Hz,512.0,1000.0,9.27118748041181,1.9415949652168811,23.53865054714964,594015.5686521237
-4,alexnet,time,time_1,0.0,0.25,4.141086455723075,1.7768425871448748,8.015430201767364,438081.5327312226
-4,alexnet,time,time_2,0.25,0.5,9.218770572174027,4.163202610288277,12.326983097094294,703641.3883906929
-4,alexnet,time,time_3,0.5,0.75,3.6515214313428026,1.030834688095157,6.321401573794045,405618.2945321615
-4,alexnet,time,time_4,0.75,1.0,0.7252110929876009,0.2525388127694733,1.2673605996196715,148127.0507945812
-4,cnntf_v2_gap,frequency,freq_0_256Hz,0.0,256.0,0.0004454192156941068,2.3494116558220316e-05,0.0007051902177493,340.6882857614037
-4,cnntf_v2_gap,frequency,freq_10000_15000Hz,10000.0,15000.0,1.151548870402512,0.7420268425994563,1.680429060044621,221051.85681773987
-4,cnntf_v2_gap,frequency,freq_1000_2000Hz,1000.0,2000.0,0.8290358801207018,0.3999521049330043,1.4455821862279268,180493.82187656756
-4,cnntf_v2_gap,frequency,freq_15000_22000Hz,15000.0,22000.0,1.7098291369080834,0.2530476250074107,3.688528933313856,257539.57559427732
-4,cnntf_v2_gap,frequency,freq_2000_5000Hz,2000.0,5000.0,1.9944933981382738,0.8904160381077455,2.6221760067380897,305838.6694321329
-4,cnntf_v2_gap,frequency,freq_256_512Hz,256.0,512.0,0.10734177167880843,-0.0265955517318925,0.3045936687412162,40774.73247608672
-4,cnntf_v2_gap,frequency,freq_5000_10000Hz,5000.0,10000.0,0.8036514589108732,0.5845290584395815,0.9297332446085096,178437.4616170503
-4,cnntf_v2_gap,frequency,freq_512_1000Hz,512.0,1000.0,0.7669317772569023,0.5334754255674605,0.9846058535804204,174784.28455781876
-4,cnntf_v2_gap,time,time_1,0.0,0.25,0.1284723510777256,0.0773460159573128,0.1583179627542719,52802.64338912929
-4,cnntf_v2_gap,time,time_2,0.25,0.5,0.3282416572952905,0.298154030726682,0.3509444068594634,100890.64691809966
-4,cnntf_v2_gap,time,time_3,0.5,0.75,0.38530945293442453,0.2989482867387293,0.4504406375272936,113005.1121908755
-4,cnntf_v2_gap,time,time_4,0.75,1.0,0.23653533875097024,0.2090179852755938,0.263597081252257,80736.00071683236
-4,rf,frequency,freq_0_256Hz,0.0,256.0,0.0,0.0,0.0,0.0
-4,rf,frequency,freq_10000_15000Hz,10000.0,15000.0,9.607570679311464e-05,-0.0069130718221764,0.0071278383044018,-3.9819965936573376
-4,rf,frequency,freq_1000_2000Hz,1000.0,2000.0,0.017113345690526402,-0.0375527188951453,0.0867244078846608,4713.571934022005
