snr,fold,model,sample_id,val_local_index,model_prediction_heat_flux,expected_value_heat_flux,sum_shap_heat_flux,reconstructed_prediction_heat_flux,completeness_error
-16,2,rf,low_heatflux_val0180,180,113054.5420361147,312186.1290646485,-199131.45063956353,113054.678425085,0.13638897030614316
-16,2,rf,high_heatflux_val0300,300,748517.1878484407,312186.1290646485,436330.388726921,748516.5177915695,-0.6700568712549284
-16,3,rf,near_onb_below_val0180,180,270918.1909362471,375346.4082794026,-104426.24550510847,270920.16277429415,1.9718380470294505
-16,3,rf,near_onb_above_val0240,240,568419.7919958482,375346.4082794026,193072.50831564394,568418.9165950465,-0.8754008016549051
-16,3,rf,worst_prediction_val0197,197,134118.26135355412,375346.4082794026,-241228.0969447734,134118.3113346292,0.049981075077084824
-16,3,rf,low_heatflux_val0000,0,134355.84562141786,375346.4082794026,-240990.49704266925,134355.91123673334,0.06561531548504718
-16,3,rf,high_heatflux_val0300,300,779325.3129137335,375346.4082794026,403980.74069045734,779327.1489698599,1.8360561263980344
-20,1,rf,near_onb_below_val0120,120,123985.43724142946,332193.7656440201,-208208.48536435614,123985.28027966397,-0.156961765489541
-20,1,rf,near_onb_above_val0180,180,362839.0953167027,332193.7656440201,30646.149841926792,362839.9154859469,0.820169244252611
-20,1,rf,false_negative_val0194,194,305480.6635988503,332193.7656440201,-26711.758814858687,305482.00682916143,1.343230311118532
-20,1,rf,worst_prediction_val0135,135,97303.15736605071,332193.7656440201,-234890.796141595,97302.96950242511,-0.18786362560058478
-20,1,rf,low_heatflux_val0060,60,120699.07941031008,332193.7656440201,-211494.8790991801,120698.88654484,-0.1928654700750485
-20,2,rf,near_onb_below_val0060,60,107828.7090825906,312186.1290646485,-204357.31556922977,107828.81349541876,0.1044128281500889
-20,2,rf,near_onb_above_val0120,120,391469.36934498075,312186.1290646485,79282.63075600851,391468.759820657,-0.6095243237214163
-20,2,rf,worst_prediction_val0067,67,73158.35181498705,312186.1290646485,-239027.69646763802,73158.43259701051,0.08078202346223406
-20,2,rf,low_heatflux_val0180,180,129269.21073247875,312186.1290646485,-182916.85416047336,129269.27490417517,0.0641716964164516
-20,2,rf,high_heatflux_val0300,300,751183.640770833,312186.1290646485,438996.941758046,751183.0708226946,-0.5699481384363025
-20,3,rf,near_onb_below_val0180,180,275140.58981435205,375346.4082794026,-100204.20276675356,275142.20551264903,1.615698296984192
-20,3,rf,near_onb_above_val0240,240,566230.8885844479,375346.4082794026,190883.50888873037,566229.917168133,-0.9714163149474189
-20,3,rf,worst_prediction_val0120,120,183718.10607442705,375346.4082794026,-191627.87589461743,183718.53238478515,0.4263103581033647
-20,3,rf,low_heatflux_val0000,0,151268.60241434118,375346.4082794026,-224077.73509590037,151268.67318350222,0.07076916104415432
-20,3,rf,high_heatflux_val0300,300,778434.1907665437,375346.4082794026,403089.72225113894,778436.1305305415,1.9397639977978542
