snr,fold,model,evaluation_unit,aggregation,group,axis,low,high,unit,low_index,high_index,n_chunks,n_samples,n_source_wavs,n_onb_samples,base_r2,masked_r2,r2_drop,base_rmse_all,masked_rmse_all,rmse_all_increase,base_mae_all,masked_mae_all,mae_all_increase,base_rmse_onb,masked_rmse_onb,rmse_onb_increase,base_recall,masked_recall,recall_drop,base_f1,masked_f1,f1_drop,base_false_negatives,masked_false_negatives,false_negative_increase
no_noise,1,alexnet,source_wav,median,freq_0_256Hz,frequency,0.0,256.0,Hz,0,3,360,6,6,1,0.9328305348239174,0.9385332133499148,-0.005702678525997373,65341.040392811985,62505.805318807485,-2835.2350740045003,56765.58938843751,52734.647168385425,-4030.9422200520858,13942.026874999981,13826.104999999981,-115.921875,0.6666666666666666,0.6666666666666666,0.0,0.8,0.8,0.0,1,1,0
no_noise,1,alexnet,source_wav,median,freq_256_512Hz,frequency,256.0,512.0,Hz,3,5,360,6,6,1,0.9328305348239174,0.8097917930790032,0.12303874174491425,65341.040392811985,109954.93492397669,44613.894531164704,56765.58938843751,99770.52168010415,43004.93229166664,13942.026874999981,30061.76124999998,16119.734375,0.6666666666666666,0.6666666666666666,0.0,0.8,0.8,0.0,1,1,0
no_noise,1,alexnet,source_wav,median,freq_512_1000Hz,frequency,512.0,1000.0,Hz,5,10,360,6,6,1,0.9328305348239174,-1.7473688898864808,2.6801994247103984,65341.040392811985,417886.73753628484,352545.69714347285,56765.58938843751,408224.74296833336,351459.15357989585,13942.026874999981,475449.895,461507.86812500004,0.6666666666666666,1.0,-0.33333333333333337,0.8,0.6666666666666666,0.13333333333333341,1,0,-1
no_noise,1,alexnet,source_wav,median,freq_1000_2000Hz,frequency,1000.0,2000.0,Hz,10,20,360,6,6,1,0.9328305348239174,-17.379275253830933,18.31210578865485,65341.040392811985,1080847.1731942173,1015506.1328014053,56765.58938843751,1034483.7377599999,977718.1483715624,13942.026874999981,1203826.77,1189884.743125,0.6666666666666666,1.0,-0.33333333333333337,0.8,0.6666666666666666,0.13333333333333341,1,0,-1
no_noise,1,alexnet,source_wav,median,freq_2000_5000Hz,frequency,2000.0,5000.0,Hz,20,51,360,6,6,1,0.9328305348239174,-12.726959746108808,13.659790280932725,65341.040392811985,934086.8972974053,868745.8569045933,56765.58938843751,901545.0658849999,844779.4764965624,13942.026874999981,1031527.8325,1017585.805625,0.6666666666666666,1.0,-0.33333333333333337,0.8,0.6666666666666666,0.13333333333333341,1,0,-1
no_noise,1,alexnet,source_wav,median,freq_5000_10000Hz,frequency,5000.0,10000.0,Hz,51,102,360,6,6,1,0.9328305348239174,-4.468287000901519,5.401117535725437,65341.040392811985,589556.9320826266,524215.8916898146,56765.58938843751,544035.4018225,487269.81243406254,13942.026874999981,652403.98875,638461.961875,0.6666666666666666,1.0,-0.33333333333333337,0.8,0.6666666666666666,0.13333333333333341,1,0,-1
no_noise,1,alexnet,source_wav,median,freq_10000_15000Hz,frequency,10000.0,15000.0,Hz,102,153,360,6,6,1,0.9328305348239174,-2.671111679561422,3.6039422143853397,65341.040392811985,483057.57665397035,417716.53626115836,56765.58938843751,434941.2325516667,378175.64316322916,13942.026874999981,511991.27,498049.24312500004,0.6666666666666666,1.0,-0.33333333333333337,0.8,0.8571428571428571,-0.05714285714285705,1,0,-1
no_noise,1,alexnet,source_wav,median,freq_15000_22000Hz,frequency,15000.0,22000.0,Hz,153,224,360,6,6,1,0.9328305348239174,0.5782089287318878,0.35462160609202964,65341.040392811985,163737.7397779781,98396.69938516611,56765.58938843751,153292.23124958333,96526.64186114582,13942.026874999981,138633.17625000002,124691.14937500004,0.6666666666666666,1.0,-0.33333333333333337,0.8,1.0,-0.19999999999999996,1,0,-1
no_noise,1,alexnet,source_wav,median,time_1,time,0.0,0.25,s,0,56,360,6,6,1,0.9328305348239174,0.1661786843232801,0.7666518505006373,65341.040392811985,230216.5793292977,164875.5389364857,56765.58938843751,199138.15612458333,142372.56673614582,13942.026874999981,302900.02,288957.99312500004,0.6666666666666666,1.0,-0.33333333333333337,0.8,1.0,-0.19999999999999996,1,0,-1
no_noise,1,alexnet,source_wav,median,time_2,time,0.25,0.5,s,56,112,360,6,6,1,0.9328305348239174,-4.398320546437861,5.331151081261779,65341.040392811985,585773.1141753773,520432.0737825653,56765.58938843751,568079.5763016667,511313.98691322916,13942.026874999981,673232.27,659290.243125,0.6666666666666666,1.0,-0.33333333333333337,0.8,0.6666666666666666,0.13333333333333341,1,0,-1
