snr,fold,model,sample_id,method,randomized_layer,original_prediction,randomized_prediction,pearson_abs_map,cosine_abs_map,relative_l1_abs_map
0,2,cnntf_v2_gap,low_heatflux_val0180,integrated_gradients,output,103980.1875,847439.125,0.5331821179119396,0.5485570385084615,0.8673476499363224
0,2,cnntf_v2_gap,high_heatflux_val0300,integrated_gradients,output,824710.375,814049.9375,0.615849510047696,0.6211263890491117,0.8660904892813389
0,2,alexnet,near_onb_below_val0060,integrated_gradients,output,137808.5625,424554.25,0.6601897689363347,0.6718636364942876,0.75129424033046
0,2,alexnet,near_onb_above_val0120,integrated_gradients,output,369415.5,416615.5625,0.6510651585006554,0.6547841145224904,0.7680046759377848
0,2,alexnet,false_negative_val0132,integrated_gradients,output,362736.21875,415433.40625,0.5409325406413137,0.5468278551336554,0.7758757983328696
0,2,alexnet,worst_prediction_val0006,integrated_gradients,output,-20118.830078125,419110.15625,0.6365075834679922,0.6436212948312527,0.7889334756835052
0,2,alexnet,low_heatflux_val0180,integrated_gradients,output,109639.0625,422290.625,0.6578705438533652,0.6713994636534973,0.7532394075465857
0,3,cnntf_v2_gap,near_onb_below_val0180,integrated_gradients,output,277549.25,-786858.5625,0.53768712024165,0.5405426077826769,0.7749340744235877
0,3,cnntf_v2_gap,near_onb_above_val0240,integrated_gradients,output,475324.28125,-721956.6875,0.5995292755950765,0.6039031118805582,0.766279025421926
0,3,cnntf_v2_gap,worst_prediction_val0041,integrated_gradients,output,274929.5,-797534.9375,0.6380824969971538,0.6491197323893076,0.7800150001734492
0,3,cnntf_v2_gap,low_heatflux_val0000,integrated_gradients,output,160196.90625,-791812.25,0.6500391447141372,0.6638967944820039,0.7508989189493515
0,3,cnntf_v2_gap,high_heatflux_val0300,integrated_gradients,output,727916.5625,-689492.9375,0.6234030541605917,0.6268708987611292,0.7647669536029663
0,3,alexnet,near_onb_below_val0180,integrated_gradients,output,281645.125,457685.78125,0.6643923107158803,0.6659478673978784,0.7540084612318477
0,3,alexnet,near_onb_above_val0240,integrated_gradients,output,470543.9375,472566.9375,0.6410316544290201,0.6446382500032427,0.7435129646178177
0,3,alexnet,worst_prediction_val0043,integrated_gradients,output,267007.875,456995.40625,0.6597532711823545,0.6674828617115893,0.7940530737575339
0,3,alexnet,low_heatflux_val0000,integrated_gradients,output,100050.4453125,468172.375,0.5941562186986077,0.6075045753972234,0.7964887878292746
0,3,alexnet,high_heatflux_val0300,integrated_gradients,output,717180.6875,469326.0,0.6947215550474438,0.6981342526970795,0.7380588217753598
-4,1,cnntf_v2_gap,near_onb_below_val0120,integrated_gradients,output,171279.625,660816.125,0.6942266389272176,0.7045653572104154,0.8388493514318436
-4,1,cnntf_v2_gap,near_onb_above_val0180,integrated_gradients,output,412358.0625,626668.75,0.6393403739773189,0.644266947888516,0.8744315648566655
-4,1,cnntf_v2_gap,false_negative_val0230,integrated_gradients,output,241638.53125,678838.125,0.6818202737053664,0.6831007486313474,0.8460686094909479
-4,1,cnntf_v2_gap,worst_prediction_val0128,integrated_gradients,output,35661.92578125,664565.875,0.5828802958191479,0.5992487482455482,0.8826397185768351
-4,1,cnntf_v2_gap,low_heatflux_val0060,integrated_gradients,output,59689.2109375,664462.5,0.69314873370809,0.7040206878322374,0.840311806920449
-4,1,alexnet,near_onb_below_val0120,integrated_gradients,output,128815.15625,467688.78125,0.6350726006991774,0.6455419531420958,0.7360792737270097
-4,1,alexnet,near_onb_above_val0180,integrated_gradients,output,404026.625,452717.21875,0.605078419366425,0.6094621276056372,0.7391510903843312
-4,1,alexnet,false_negative_val0230,integrated_gradients,output,239837.8125,438409.9375,0.7557513240593442,0.7570703547030844,0.6853948398007333
-4,1,alexnet,worst_prediction_val0135,integrated_gradients,output,-56529.921875,455710.59375,0.5674212738052167,0.5760638511332247,0.7642587529158015
-4,1,alexnet,low_heatflux_val0060,integrated_gradients,output,-6719.70703125,467925.40625,0.6281264309294267,0.6397955462863902,0.736442379322499
-4,2,cnntf_v2_gap,near_onb_below_val0060,integrated_gradients,output,151592.1875,847744.9375,0.6509196866656018,0.6640031732535955,0.8867673751745293
-4,2,cnntf_v2_gap,near_onb_above_val0120,integrated_gradients,output,416135.90625,815278.25,0.7119342254396893,0.7153037352803707,0.8089014182714704
-4,2,cnntf_v2_gap,worst_prediction_val0056,integrated_gradients,output,24685.95703125,857401.75,0.6289111229182232,0.6397794107014743,0.8867298746909379
-4,2,cnntf_v2_gap,low_heatflux_val0180,integrated_gradients,output,157870.125,846835.625,0.6517083539323715,0.6653380806678794,0.8847626098330427
-4,2,cnntf_v2_gap,high_heatflux_val0300,integrated_gradients,output,825369.125,833634.0625,0.6719823778857896,0.6768893775321424,0.8242815618346829
-4,2,alexnet,near_onb_below_val0060,integrated_gradients,output,158651.953125,417429.375,0.6024946445764335,0.6157702362867956,0.7372376061928737
