snr,fold,model,sample_id,method,repeat,noise_fraction_of_sample_std,pearson_abs_map,cosine_abs_map,relative_l1_abs_map
-8,1,cnntf_v2_gap,worst_prediction_val0137,integrated_gradients,1,0.01,0.9999096569140562,0.9999112355458175,0.062385305005904064
-8,1,cnntf_v2_gap,worst_prediction_val0137,integrated_gradients,2,0.01,0.9999122465247792,0.9999138156277687,0.06157584279650538
-8,1,cnntf_v2_gap,low_heatflux_val0060,integrated_gradients,1,0.01,0.999923899628591,0.9999261078678164,0.04957929017175962
-8,1,cnntf_v2_gap,low_heatflux_val0060,integrated_gradients,2,0.01,0.9999216689126279,0.9999239449558727,0.05031496430037755
-8,1,alexnet,near_onb_below_val0120,integrated_gradients,1,0.01,0.999708814485485,0.9997187898146795,0.060486731209081726
-8,1,alexnet,near_onb_below_val0120,integrated_gradients,2,0.01,0.9997112166709119,0.9997211264241423,0.061199161399747036
-8,1,alexnet,near_onb_above_val0180,integrated_gradients,1,0.01,0.9999779427043674,0.9999781010642745,0.02533550769799022
-8,1,alexnet,near_onb_above_val0180,integrated_gradients,2,0.01,0.9999780443658085,0.9999781820964406,0.025243070569793812
-8,1,alexnet,false_negative_val0230,integrated_gradients,1,0.01,0.9999720983682965,0.9999719849474235,0.04399272999679241
-8,1,alexnet,false_negative_val0230,integrated_gradients,2,0.01,0.9999728716368261,0.9999726567212145,0.044426793087987346
-8,1,alexnet,worst_prediction_val0133,integrated_gradients,1,0.01,0.9995662408842201,0.9995684481054014,0.09947106859117011
-8,1,alexnet,worst_prediction_val0133,integrated_gradients,2,0.01,0.9995628296059982,0.999563949766818,0.10368465821144565
-8,1,alexnet,low_heatflux_val0060,integrated_gradients,1,0.01,0.9997515846709388,0.99976050512141,0.055494539199325704
-8,1,alexnet,low_heatflux_val0060,integrated_gradients,2,0.01,0.9997463876865631,0.9997554966152274,0.05645256599082761
-8,2,cnntf_v2_gap,near_onb_below_val0060,integrated_gradients,1,0.01,0.9998696088978675,0.9998748813077678,0.05510572976086449
-8,2,cnntf_v2_gap,near_onb_below_val0060,integrated_gradients,2,0.01,0.9998727015957922,0.9998778130505737,0.05423054570359896
-8,2,cnntf_v2_gap,near_onb_above_val0120,integrated_gradients,1,0.01,0.9999713585458041,0.9999707757403097,0.039131263988363946
-8,2,cnntf_v2_gap,near_onb_above_val0120,integrated_gradients,2,0.01,0.9999717352313406,0.9999712543619096,0.03881468718954391
-8,2,cnntf_v2_gap,false_negative_val0132,integrated_gradients,1,0.01,0.9999842203966741,0.9999838234030869,0.029641959041647965
-8,2,cnntf_v2_gap,false_negative_val0132,integrated_gradients,2,0.01,0.9999845790984636,0.9999841986449601,0.02950660143492184
-8,2,cnntf_v2_gap,worst_prediction_val0054,integrated_gradients,1,0.01,0.9999006181279637,0.9999038308656457,0.052720197547837404
-8,2,cnntf_v2_gap,worst_prediction_val0054,integrated_gradients,2,0.01,0.9999013645424586,0.9999045937847849,0.052475044591676144
-8,2,cnntf_v2_gap,low_heatflux_val0180,integrated_gradients,1,0.01,0.9998766428524775,0.9998817350412305,0.053201847528318684
-8,2,cnntf_v2_gap,low_heatflux_val0180,integrated_gradients,2,0.01,0.9998716973140336,0.9998769897142162,0.05400331729481283
