snr,fold,model,sample_id,val_local_index,y_true,y_pred,abs_error,method,attribution_units,attribution_sum,output_delta_from_baseline,completeness_error,completeness_relative_error,deletion_prediction_auc,deletion_linear_auc,deletion_area_between_curve,insertion_prediction_auc,insertion_linear_auc,insertion_area_between_curve,top_frequency_bin,top_frequency_hz,top_time_frame,top_time_s
no_noise,3,cnntf_v2_gap,high_heatflux_val0300,300,698421.296,724379.0,25957.704000000027,group_occlusion,heat_flux_change,nan,642628.796875,nan,nan,nan,nan,nan,nan,nan,nan,153,15075.892857142857,112,0.5022321428571429
no_noise,3,alexnet,near_onb_below_val0180,180,315466.1173,284175.03125,31291.086049999984,integrated_gradients,heat_flux,-25147032.0,87561.609375,-25234593.609375,288.1924371821769,1096042.31328125,240394.1171875,855648.19609375,946272.060546875,240394.1171875,705877.943359375,22,2209.8214285714284,60,0.2700892857142857
no_noise,3,alexnet,near_onb_below_val0180,180,315466.1173,284175.03125,31291.086049999984,grad_cam,relative_importance,nan,87561.609375,nan,nan,494015.83125,240394.1171875,253621.7140625,581053.8160156249,240394.1171875,340659.6988281249,215,21165.178571428572,0,0.002232142857142857
no_noise,3,alexnet,near_onb_below_val0180,180,315466.1173,284175.03125,31291.086049999984,group_occlusion,heat_flux_change,nan,87561.609375,nan,nan,nan,nan,nan,nan,nan,nan,51,5058.035714285715,56,0.25223214285714285
no_noise,3,alexnet,near_onb_above_val0240,240,489453.9981,460390.34375,29063.654350000026,integrated_gradients,heat_flux,-3675383040.0,263776.921875,-3675646816.921875,13934.679314605506,2155696.0390625,328502.8828125,1827193.15625,1875531.3714843749,328502.8828125,1547028.4886718749,22,2209.8214285714284,18,0.08258928571428571
no_noise,3,alexnet,near_onb_above_val0240,240,489453.9981,460390.34375,29063.654350000026,grad_cam,relative_importance,nan,263776.921875,nan,nan,756695.8828125,328502.8828125,428193.0,1008968.448046875,328502.8828125,680465.565234375,215,21165.178571428572,215,0.9620535714285714
no_noise,3,alexnet,near_onb_above_val0240,240,489453.9981,460390.34375,29063.654350000026,group_occlusion,heat_flux_change,nan,263776.921875,nan,nan,nan,nan,nan,nan,nan,nan,51,5058.035714285715,56,0.25223214285714285
no_noise,3,alexnet,worst_prediction_val0005,5,0.000328047,191504.609375,191504.609046953,integrated_gradients,heat_flux,-246326.46875,-5108.8125,-241217.65625,47.21599319802791,909014.874609375,194059.375,714955.499609375,874227.117578125,194059.375,680167.742578125,9,933.0357142857143,58,0.2611607142857143
no_noise,3,alexnet,worst_prediction_val0005,5,0.000328047,191504.609375,191504.609046953,grad_cam,relative_importance,nan,-5108.8125,nan,nan,491760.373046875,194059.375,297700.998046875,496151.055859375,194059.375,302091.680859375,215,21165.178571428572,215,0.9620535714285714
no_noise,3,alexnet,worst_prediction_val0005,5,0.000328047,191504.609375,191504.609046953,group_occlusion,heat_flux_change,nan,-5108.8125,nan,nan,nan,nan,nan,nan,nan,nan,51,5058.035714285715,56,0.25223214285714285
