before,after,model,source_wav_id,y_true_w_m2,region,chunks,sse_reduction_w_m2_squared
no_noise,-20,conformer,index=15.633482,633482.536,above_onb,60,-676421521573.276
no_noise,-20,conformer,index=16.709792,709792.7143,above_onb,60,-507944975264.1711
no_noise,-20,conformer,index=17.789500,789500.1968,above_onb,60,-305831790253.0292
no_noise,-20,conformer,index=18.873637,873637.0359,above_onb,60,-11627216590.58654
no_noise,-20,conformer,index=2.2380,2380.025286,below_onb,60,-22172228523056.727
no_noise,-20,conformer,index=3.21242,21242.86319,below_onb,60,-21098833792303.992
no_noise,-20,conformer,index=4.58389,58389.85471,below_onb,60,-18718363809461.637
no_noise,-20,conformer,index=5.113188,113188.2901,below_onb,60,-15113442408628.914
no_noise,-20,conformer,index=6.146381,146381.6505,below_onb,60,-12834015384632.672
no_noise,-20,conformer,index=7.184190,184190.9699,below_onb,60,-10803226454471.734
no_noise,-20,conformer,index=8.225704,225704.9618,below_onb,60,-8342456703803.334
no_noise,-20,conformer,index=9.271677,271677.6816,near_onb,60,-5879718328557.928
no_noise,-20,alexnet,index=1.0,-1.42e-06,below_onb,60,-5257614412590.359
no_noise,-20,alexnet,index=10.322114,322114.2428,above_onb,60,1170383409905.2893
no_noise,-20,alexnet,index=11.376320,376320.1201,above_onb,60,466000340542.8864
no_noise,-20,alexnet,index=12.434018,434018.0833,above_onb,60,-87932232033.39107
no_noise,-20,alexnet,index=13.496023,496023.3525,above_onb,60,-72017560151.9691
no_noise,-20,alexnet,index=14.562158,562158.7854,above_onb,60,26995412074.071636
no_noise,-20,alexnet,index=15.633482,633482.536,above_onb,60,63598098501.33915
no_noise,-20,alexnet,index=16.709792,709792.7143,above_onb,60,63090433020.162895
no_noise,-20,alexnet,index=17.789500,789500.1968,above_onb,60,-159058432395.60355
no_noise,-20,alexnet,index=18.873637,873637.0359,above_onb,60,-762909256862.5782
no_noise,-20,alexnet,index=2.2380,2380.025286,below_onb,60,-4744986531449.784
no_noise,-20,alexnet,index=3.21242,21242.86319,below_onb,60,-4654953228436.437
no_noise,-20,alexnet,index=4.58389,58389.85471,below_onb,60,-3776784742994.185
no_noise,-20,alexnet,index=5.113188,113188.2901,below_onb,60,-2466458624630.1343
no_noise,-20,alexnet,index=6.146381,146381.6505,below_onb,60,-1831865062617.4045
no_noise,-20,alexnet,index=7.184190,184190.9699,below_onb,60,-1123151604673.551
no_noise,-20,alexnet,index=8.225704,225704.9618,below_onb,60,91436310962.0674
no_noise,-20,alexnet,index=9.271677,271677.6816,near_onb,60,680158494855.4324
no_noise,-20,ensemble__inner_holdout,index=1.0,-1.42e-06,below_onb,60,-11439623735072.8
no_noise,-20,ensemble__inner_holdout,index=10.322114,322114.2428,above_onb,60,278815030302.65485
no_noise,-20,ensemble__inner_holdout,index=11.376320,376320.1201,above_onb,60,-170222834144.338
no_noise,-20,ensemble__inner_holdout,index=12.434018,434018.0833,above_onb,60,-205270819098.76196
no_noise,-20,ensemble__inner_holdout,index=13.496023,496023.3525,above_onb,60,-121115509109.14403
no_noise,-20,ensemble__inner_holdout,index=14.562158,562158.7854,above_onb,60,-31923302786.56261
no_noise,-20,ensemble__inner_holdout,index=15.633482,633482.536,above_onb,60,25111940748.123863
no_noise,-20,ensemble__inner_holdout,index=16.709792,709792.7143,above_onb,60,37097491139.65882
no_noise,-20,ensemble__inner_holdout,index=17.789500,789500.1968,above_onb,60,5781970643.34184
no_noise,-20,ensemble__inner_holdout,index=18.873637,873637.0359,above_onb,60,-49588494205.63839
no_noise,-20,ensemble__inner_holdout,index=2.2380,2380.025286,below_onb,60,-11237445844596.01
no_noise,-20,ensemble__inner_holdout,index=3.21242,21242.86319,below_onb,60,-10599688607259.41
no_noise,-20,ensemble__inner_holdout,index=4.58389,58389.85471,below_onb,60,-9044014247110.205
